#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
1,81,جرير بن عطيّة,قصيدة رقم 254، منتهى الطلب، كامل، عُ,هذاكَما تَرَكُوا مَزادًا مُسْلَمًافَكأنَّما ذُبِحَ الخَرُوفُ الأبْقَعُ,تشبيه,تشبيه
2,21,عمر بن أبي ربيعة,قصيدة رقم 127، البسيط، رُ,حتّى يذوقَكما ذُقْنا فيَمْنَعَهُ مما يلذُّ حديثُ النّفْسِ والسَّهَرُ,تشبيه,تشبيه
3,2,الرّاعي النُّمَيْريّ,قصيدة رقم 20، الطّويل، دِ,نَفَوْا إِخْوَةً مَامِثْلَهُمْ كَانَ إِخْوَةٌ لِحَيٍّ وَلَمْ يَسْتَوْحِشُوا لِفَسَادِ,تشبيه,تشبيه
4,14,عمر بن أبي ربيعة,قصيدة رقم 127، البسيط، رُ,كالمسْكِ شيب بذوبِ النّحلِ يخْلِطُهُ ثَلْجٌ بصهباءَ ممّا عتَّقَتْ جَدَرُ,تشبيه,تشبيه
5,4,نقائض جرير والفرزدق,جرير، نقيضة رقم 60، الطَّويل، رُها,كَما ضَرَبَت في مِعْصَمٍ حارِثِيَّةٌ يَمانِيَةٌ بالوَشْمِ باقٍ نَؤُورُها,تشبيه,تشبيه
6,38,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,بَكَيْنَ إليْكُمْ والرِّماحُكأنَّها مَعَ القَوْم أشْطانُ الجَرورِ النَّوازعُ,تشبيه,تشبيه
7,3,نقائض جرير والفرزدق,جرير، نقيضة رقم 60، الطَّويل، رُها,كَأَنَّ دِيارَ الحَيِّ مِنْ قِدمِ البِلَى قَراطيسُ رُهْبانٍ أَحالَتْ سُطورُها,تشبيه,تشبيه
8,8,نقائض جرير والفرزدق,جرير، نقيضة رقم 60، الطَّويل، رُها,كَأَنَّكَ يابْنَ القَيْنِ واهِبُ سَيْفِهِ لِأَعْدائِهِ والحَرْبُ تَغْلِي قُدورُها,تشبيه,تشبيه
9,42,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,تَخِقُّ الكُلَيْبيّاتُ تَحْتَ رِجالِهِمْكَما خَقَّ في جَوْفِ الصَّراةِ الضَّفادِعُ,تشبيه,تشبيه
10,45,الفرزدق,قصيدة رقم 268، منتهى الطلب، طويل، عُ,كأنَّ كُلَيْبًا حِينَ تَشْهَدُ مَحْفِلًا حُلاقَةُ إسْتٍ جَمَّعَتْها الأصابِعُ,تشبيه,تشبيه
