#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
1,6,ابن هانئ الأندلسيّ,قصيدة رقم (28)، الكامل، رِ.,منْ منكمُ الملكُ المطاعُكأنّهُ تحتَ السَّوابغ تبّعٌ في حِميَرِ,تشبيه,تشبيه
2,21,ابن اللبانة الداني,قصيدة رقم 51، كامل، عُ,يا آخذ البطحاءِ في يوم الوغىفكأنه هجعتْ عليها أفرعُ,تشبيه,تشبيه
3,15,ابن اللبانة الداني,قصيدة رقم 71، كامل، لُ,وكأنه قُزحٌ على أفقِ الضحى وعلى جبين مبشّرٍ إكليل,تشبيه,تشبيه
4,16,ابن اللبانة الداني,قصيدة رقم 71، كامل، لُ,ملكٌكما اتّقد الصباحُ وراءه ظلٌّكما برَدَ الماءُ ظليلُ,تشبيه,تشبيه
5,17,ابن اللبانة الداني,قصيدة رقم 71، كامل، لُ,جاوزتُ منه البحرَ إلا أنه عذبٌكما رشفَ اللمى تقبيل,تشبيه,تشبيه
6,14,ابن اللبانة الداني,قصيدة رقم 51، كامل، عُ,وكأنما تلك الأراكة منبرٌوكأنه فيها خطيبٌ مُصقَّعُ,تشبيه,تشبيه
7,15,ابن اللبانة الداني,قصيدة رقم 51، كامل، عُ,وكأنما خبرُ الموءيد خبرتي فلسانُه بالشكرِ فيه يُسجَّعُ,تشبيه,تشبيه
8,19,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,و مُهنَّدٌ فيهِ الفِرِندُكأنّهُ درٌّ لهُ خلفَ الغرارِ كمينُ,تشبيه,تشبيه
9,19,ابن اللبانة الداني,قصيدة شعراء عباسيون رقم 8، بسيط، اد,سارت سفائنُهم والنَّوحُ يتبعُهاكأنها إبلٌ يحدو بها الحادي,تشبيه,تشبيه
10,2,ابن اللبانة الداني,قصيدة رقم 11، طويل، بِ,كأني شربتُ الليلَ في كأس ذكره فلم أُبقِ فيه فضلةً للكواكب,تشبيه,تشبيه
11,22,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,وكأنّما يلقى الضّريبة َ دونهُ بأسُ المُعِزِّ أوِ اسمُهُ المَحزونُ,تشبيه,تشبيه
12,15,ابن هانئ الأندلسيّ,قصيدة رقم (12)، الطّويل، جَ.,ترفّعَ عنَّا سجفهُفكأنّهُ يجيءُ بيحيي صبْحَهُ المتبَلِّجا,تشبيه,تشبيه
13,33,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,مَلِكٌكما حُدِّثتَ عنهُ رأفَة ٌ فالخمرُ ماءٌ والشّراسة ُ لينُ,تشبيه,تشبيه
14,41,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,فكأنّها تحتَ النّضارِ كواكبٌ وكأنّها تحْتَ الحَديدِ دُجونُ,تشبيه,تشبيه
15,45,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,أمّا الغِنى فهو الّذي أولَيْتَنافكأنّ جودَكَ بالخلُودِ رَهينُ,تشبيه,تشبيه
16,44,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,في الغيْثِ شِبهٌ من نَداكَكأنّما مسَحَتْ على الأنواءِ منكَ يمينُ,تشبيه,تشبيه
17,46,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,تَطَأُ الجِيادُ بِنا البُدورَكأنّها تحتَ السّنابكِ مرمرٌ مسنونُ,تشبيه,تشبيه
18,12,ابن هانئ الأندلسيّ,قصيدة رقم (12)، الطّويل، جَ.,وأسْعَدَني مرفضُّ دمعيكأنّما تَساقَطَ رأد اليوْمِ دُرًّا مُدَحْرَجَا,تشبيه,تشبيه
19,26,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ ظلامَ اللّيلِ إذ مالَ مَيْلَة ً صريعُ مُدامٍ باتَ يشرَبُها صِرفا,تشبيه,تشبيه
20,25,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ الهَزيعَ الآبنُوسيَّ لونُهُ سَرَى بالنّسيج الخُسرُوانيِّ مُلتفّا,تشبيه,تشبيه
21,28,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ لِواءَ الشّمسِ غرَّة ُ جعْفَرٍ رأى القرنَ فازدادتْ طلاقتهُ ضعفا,تشبيه,تشبيه
22,27,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ عمودَ الفجرِ خاقانُ معشرٍ من التّركِ نادى بالنّجاشيّ فاستخفى,تشبيه,تشبيه
23,22,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ مُعلَّى قُطبِها فارسٌ لَهُ لِواءانِ مركوزانِ تُذكرهُ الزحفا,تشبيه,تشبيه
24,21,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ سهاها عاشقٌ بين عُوَّدٍ فآوِنَة ً يَبدو وآونَة ً يُخْفى,تشبيه,تشبيه
25,23,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,كأنّ قُدامَى النَّسرِ والنَّسْرُ واقعٌ قصصنَ فلم تسمُ الخوافي به ضعفا,تشبيه,تشبيه
26,30,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,و جاءتْ عتاقُ الخيل ترديكأنّما تخطُّ له أقلامُ آذانها صحفا,تشبيه,تشبيه
27,84,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,حتّىكأنّي مُلْهمٌ وكأنّها سُوَرٌ أُرَتِّلُ آيَها تَرتيلا,تشبيه,تشبيه
28,37,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,إذا شهدَ الهيجاءَ مدّتْ به يدًاكأنّ عليها دملجًا منهُ أو وقفا,تشبيه,تشبيه
29,23,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,منَ اللّاءِ لا يُصْدِرْنَ إلّا رَوِيّةًكأنّ عليها صِبْغَ خَمْرٍ وعَنْدَمِ,تشبيه,تشبيه
30,24,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,كأنّ قَنَاها المُلْدَ وهي خَوافِقٌ قُدودُ المَها في كلّ رَيْطٍ مُسَهَّمِ,تشبيه,تشبيه
31,25,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,لها العَذباتُ الحُمْرُ تَهْفوكأنّها حَواشي بُروقٍ أو ذوائبُ أنجُمِ,تشبيه,تشبيه
32,96,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,راعتهُم لمعُ البروقكأنّما جرَّدتُموها في السّحابِ نُصولا,تشبيه,تشبيه
33,13,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,جهلتُ الهوى حتّى اختبرْتُ عذابَهُكما اختبرَ الرِّعْديدُ بأسَ المُصَمِّمِ,تشبيه,تشبيه
34,46,ابن هانئ الأندلسيّ,قصيدة رقم (50)، الطّويل، فَ.,فلو أنّنيشبهتهُ البحرَ زاخرًا خشيتُ بكونِ المدحِ في مثلهِ قذفا,تشبيه,تشبيه
35,14,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,وقُدْتُ إلى نَفْسي منّيةَ نَفسِهاكما أُحِرقتْ في نارِها كَفُّ مُضْرِمِ,تشبيه,تشبيه
36,66,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وكأنّ أرواحَ العِدى شاكَلْنَهُ فإذا ادّعى لَبّى الكَمِيَّ عَجولا,تشبيه,تشبيه
37,2,أبو بقاء الرندي,قصيدة رقم 11، بسيط، انُ,هي الأموركما شاهدتَها دُوَلٌ مَنْ سَرَّه زمن ساءته أزمان,تشبيه,تشبيه
38,1,ابن اللبانة الداني,قصيدة رقم 38، كامل، رِ,يوم تكاثف غيمُهفكأنه دون السماء دخان عود أخضرِ,تشبيه,تشبيه
39,9,أبو بقاء الرندي,قصيدة رقم 11، بسيط، انُ,أتى على الكلِّ أمرٌ لا مَرَدَّ له حتى قضَوْافكأَن القوم ما كانوا,تشبيه,تشبيه
40,60,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وشَفَعْتَ في وَفْدِ الحجيجِكأنّما نَفّلْتَهُمْ إخلاصَكَ المقبولا,تشبيه,تشبيه
41,3,ابن اللبانة الداني,قصيدة رقم 38، كامل، رِ,والشمسُ في حجب السماءكأنها حسنًا تستر تحت كلّةِ تُستُرِ,تشبيه,تشبيه
42,54,ابن هانئ الأندلسيّ,قصيدة رقم (38)، الكامل، رُ.,لستمكأبناءِ الطّليقِ المرتدي بالكفر حتّى يحضَّ فيهِ إسارُ,تشبيه,تشبيه
43,77,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,سارَتْ بها شِيَعُ القصائدِ شُرَّدافكَأنّما كانَتْ صبًا وقَبُولا,تشبيه,تشبيه
44,75,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وكأنّهُ لم يُبْقِ وترًا ضائعًا في كربلاءَ ولا دَمًا مَطلولا,تشبيه,تشبيه
45,74,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,وما الجودُ جودٌ في سِواكَ حَقيقَةً وما هو إلّاكالحديثِ المُرَجَّمِ,تشبيه,تشبيه
46,50,ابن اللبانة الداني,قصيدة رقم 27، بسيط، ادِ,ومن يُحق لي الآلاف من ذهبكأنما أشربتْ ماذية الحاد,تشبيه,تشبيه
47,51,ابن اللبانة الداني,قصيدة رقم 27، بسيط، ادِ,كأنما سكبت في جوف بارقةٍ بنار نور من المريخ وقّاد,تشبيه,تشبيه
48,10,ابن اللبانة الداني,قصيدة رقم 48، طويل، عا,صغرت مكانًا إذ كبرتُ درايةًكأني مبنيٌّ على خلقةِ الأفعى,تشبيه,تشبيه
49,20,ابن هانئ الأندلسيّ,قصيدة رقم (38)، الكامل، رُ.,وكأنَّ وفْرَتَهُ غَدائِرُ غادَة ٍ لم يلقها بؤسٌ ولا إقتارُ,تشبيه,تشبيه
50,12,ابن اللبانة الداني,قصيدة رقم 48، طويل، عا,ودونكها رقت وراقت محاسنًا فما الروضةُ الحسناءُتشبهها طبعا,تشبيه,تشبيه
51,55,ابن اللبانة الداني,قصيدة رقم 27، بسيط، ادِ,مكارم ومعال كنت بينهماكأني بين روضات وأطواد,تشبيه,تشبيه
52,63,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,وكُلُّ أنَاةٍ في المواطِنِ سُؤدَدٌ ولاكأناةٍ من قديرٍ مُحَكَّمِ,تشبيه,تشبيه
53,69,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,كأسنمةِ الآبالِ أوكحُدُوجِها فمِن شاهِقٍ عن نسعةٍ ومُزَمَّمِ,تشبيه,تشبيه
54,50,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,وأحسِبُهُ أوحى بأمْرٍ إلى الظُّبى ولو لم يكُنْ ما قلتُ لم يتبسَّمِ,تشبيه,تشبيه
55,38,ابن اللبانة الداني,قصيدة رقم 27، بسيط، ادِ,وغُيرت نشواتُ اللائدين بهمبمثل ما قصفوا من كل منآد,تشبيه,تشبيه
56,14,ابن هانئ الأندلسيّ,قصيدة رقم (38)، الكامل، رُ.,وكأنَّ غَيضاتِ الرِّماحِ حدائقٌ لُمَعُ الأسِنّة ِ بينها أزهارُ,تشبيه,تشبيه
57,16,ابن هانئ الأندلسيّ,قصيدة رقم (38)، الكامل، رُ.,والخيل تمرح في الشّكيمكأنّها عِقبانَ صارةَ شاقها الأوكارُ,تشبيه,تشبيه
58,46,ابن اللبانة الداني,قصيدة رقم 27، بسيط، ادِ,سارت سفائنهم والنوح يصحبهاكأنها إبل يحدو بها الحادي,تشبيه,تشبيه
59,4,ابن اللبانة الداني,قصيدة رقم 51، كامل، عُ,فكأنما الكافورُ خالطَ ثوبه وأذاب فيها المسكَ مزنٌ يهمع,تشبيه,تشبيه
60,3,ابن اللبانة الداني,قصيدة رقم 51، كامل، عُ,خضلُ الجنابِكأن عهدَ وصالها أبقى بها مأتيةً تُتمتع,تشبيه,تشبيه
61,95,ابن هانئ الأندلسيّ,قصيدة رقم (70)، الطّويل، مِ.,وأرْعَنَ يحْمومٍكأنّ أديمَهُ إذا شرَّعت أرماحُهُ ظَهرُ شَيهَمِ,تشبيه,تشبيه
