"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"1","قِفَا نَبْكِ من ذِكْرَى حَبِيبٍ ومنزلِ","قِفَا نَبْكِ","أسلوب إنشائي (أمر) – غير مطلوب","نداءٌ موجَّه لرفيقين للتوقّف والبكاء، يعبّر عن حالة وجدانية."
"1","قِفَا نَبْكِ من ذِكْرَى حَبِيبٍ ومنزلِ","ذِكْرَى حَبِيبٍ","كناية","كناية عن شدّة التعلُّق والحنين للحبيب عبر ذكر مكانه."
"1","بِسِقْطِ اللِّوَى بَيْنَ الدَّخُولِ فَحَوْمَلِ","ذكر الأماكن المتتابعة","توزيع","توزيع جغرافي يذكر عدة مواضع ليصوّر التيه والرحلة."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"2","فَتُوضِحَ فالمِقْراةِ لم يَعْفُ رسْمُهَا","لم يعفُ رسمها","كناية","كناية عن بقاء آثار الديار وعدم اندراسها رغم مرور الزمن."
"2","لِمَا نَسَجَتْهَا منْ جَنُوبٍ وشَمْألِ","جنوب وشمال","طباق إيجاب","طباق بين الريحين (الجنوب والشمال) لتصوير شدّة العوامل الطبيعية."
"2","لِمَا نَسَجَتْهَا منْ جَنُوبٍ وشَمْألِ","نسج الرياح","استعارة","شبّه فعل الرياح بالنسّاج الذي يحيك النسيج، للدلالة على قوّة الرياح وتأثيرها."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"3","تَرَى بَعَرَ الأرْآمِ في عَرَصَاتِها","بَعَرَ الأرآم","كناية","كناية عن وجود الظباء وسُكناها في الموضع من أثر روثها."
"3","تَرَى بَعَرَ الأرْآمِ في عَرَصَاتِها","الأرآم","استعارة تصريحية","ذكر الظباء تصريحًا للدلالة على سكونها المكان دون ذكر المشبَّه به مباشرة."
"3","وقِيْعَانِها كَأنَّهُ حَبُّ فُلْفُلِ","كأنّه حبّ فلفل","تشبيه","شبّه تفرّق البعر في القيعان بحبّ الفلفل في الشكل والصغر والانتشار."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"4","كَأنِّي غَدَاةَ البَيْنِ يَوْمَ تَحَمَّلوا","كأنّي…","تشبيه","شبّه حاله عند الفراق بحال شيء آخر لبيان شدّة الألم."
"4","لَدَى سَمُراتِ الحَيِّ نَاقِفُ حَنْظَلِ","ناقف حنظل","تشبيه","شبّه نفسه بمن ينقُف الحنظل المرّ للدلالة على شدّة المرارة التي يشعر بها وقت الفراق."
"4","نَاقِفُ حَنْظَلِ","حنظل (المرارة)","كناية","كناية عن شدّة الحزن والمرارة الناتجة عن فراق الأحبّة."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"5","وُقُوفاً بها صَحْبِي عَلَيَّ مَطِيَّهُمْ","وُقوفًا بها صحبي","كناية","كناية عن تعاطف الأصحاب معه وتوقّفهم لمواساته في حزنه."
"5","يَقُولُونَ لا تَهلِكْ أسًى وَتَجمَّلِ","لا تهلك أسى","مبالغة","مبالغة في النهي، يصوّر حزنه كأنه قد يودي به إلى الهلاك."
"5","يَقُولُونَ… تَجمَّلِ","تجمّل","التفات","التفات من الغَيبة إلى الخطاب مباشرة لإبراز تأثير النصيحة عليه."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"6","وإنَّ شِفَائي عَبْرَةٌ مُهَرَاقَةٌ","شفائي عبرة مهراقة","مبالغة","يبالغ في وصف حزنه حتى يجعل الشفاء نفسه دمعة تسيل باستمرار، تصوير لشدة الوجْد."
"6","فَهَلْ عِنْدَ رَسْمٍ دارِسٍ من مُعَوَّلِ","رسم دارس","كناية","كناية عن قدم الديار واندثارها، مما يدل على شدّة الحنين وضياع الأثر."
"6","فَهَلْ… من مُعَوَّلِ","الاستفهام","التفات","التفات من الإخبار إلى الاستفهام للتعبير عن اليأس من وجود ما يُعوَّل عليه عند الأطلال."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"7","كَدَأْبِكَ منْ أمِّ الحُوَيْرِث قَبْلَهَا","كدأبك","كناية","كناية عن تكرار حاله مع محبوبات سابقات، أي أنّ حبه الحالي يشبه ما كان قبلَه."
"7","كَدَأْبِكَ منْ أمِّ الحُوَيْرِث","دأبك","جناس الاشتقاق","اشتقاق بين (دأب) بمعنى العادة المستمرة وما يدلّ على السلوك المتكرر."
