"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"1","أَلَا حَيِّ رَهبَى ثم حَيِّ المَطاليا فقد كان مأنوسًا فأَصبح خاليا","ألا حيّ… حيّ","تكرار","تكرار فعل النداء للتحسّر واستدعاء الماضي وتأكيد الشوق."
"1","أَلَا حَيِّ رَهبَى ثم حَيِّ المَطاليا فقد كان مأنوسًا فأَصبح خاليا","مأنوسًا / خاليًا","طباق سلب","تقابل بين حالين: الأنس مقابل الخلوّ، يبرز التغير الكبير في المكان."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"2","فلا عَهْدَ إِلا أَن تَذَكَّرَ أَو تَرَى ثُمَامًا حَوالَيْ مَنصِب الخَيْم باليا","تذكّر / ترى","توزيع","توزيع حالتين: إما أن يتذكّر أو يرى، لتوسيع دائرة الدلالة على آثار الديار."
"2","فلا عَهْدَ إِلا أَن تَذَكَّرَ أَو تَرَى ثُمَامًا حَوالَيْ مَنصِب الخَيْم باليا","تذكر / ترى","عكس","تقابل بين عمل قلبي (تذكّر) وعمل حسيّ (رؤية) لبيان شدّة تعلّق الشاعر بالمكان."
"2","فلا عَهْدَ إِلا أَن تَذَكَّرَ أَو تَرَى ثُمَامًا حَوالَيْ مَنصِب الخَيْم باليا","منصب الخيم","كناية","كناية عن المكان الذي كانت تنصب فيه الخيام، أي بقايا السكن وآثاره."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"3","إِلى اللهِ أَشكو أَنَّ بالغَوْرِ حاجةً وأُخرى إِذا أَبصرت نجدًا بَدَا ليا","الغور / نجد","طباق إيجاب","تقابل بين مكانين متضادين في الارتفاع والانخفاض، لإظهار اتساع معاناة الشاعر في كل الجهات."
"3","إِلى اللهِ أَشكو… حاجةً / أخرى","حاجةً… وأخرى","توزيع","توزيع لحاجتين مختلفتين في موضعين مختلفين، للدلالة على تكرّر الهموم وتنوّع أسباب الشكوى."
"3","إِلى اللهِ أَشكو","أشكو إلى الله","كناية","كناية عن شدّة الضيق والعجز، إذ لا يُشكى الأمر إلا إلى الله عند شدّة البلاء."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"4","إِذا ما أَراد الحي أَن يتزايلوا وحنت جِمال البين حنت جماليا","يتزايلوا","جناس التصريف","اشتقاق من أصل واحد (زال/يتزايل) يعطي تنغيمًا لفظيًا وتأكيدًا لمعنى الافتراق."
"4","إِذا ما أَراد الحي أَن يتزايلوا وحنت جِمال البين حنت جماليا","حنت جِمال البين","استعارة","شبّه الجمال (الإبل) بمن يحِنّ كالبشر، استعارة مكنية تُبرز ألم الفراق."
"4","إِذا ما أَراد الحي أَن يتزايلوا وحنت جِمال البين حنت جماليا","حنت… حنت","تكرار","تكرار الفعل لبيان شدّة الحنين وكثرة تجدد معاني الوداع."
"4","إِذا ما أَراد الحي أَن يتزايلوا وحنت جِمال البين حنت جماليا","يتزايلوا / حنت","مقابلة","مقابلة بين فعلين: الافتراق (يتزايلوا) والحنين (حنت)، لإبراز تناقض المشاعر مع واقع الرحيل."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
