"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"1","قَدكَ اِتَّئِب أَربَيتَ في الغُلواءِ كَم تَعذِلونَ وَأَنتُمُ سُجَرائي؟!","قدك اتئب / أربيت","الجناس المحرّف","تقارب لفظي مع اختلاف يسير في البنية، يمنح جرْسًا صوتيًا ويعزز نبرة العتاب."
"1","قَدكَ اِتَّئِب أَربَيتَ في الغُلواءِ كَم تَعذِلونَ وَأَنتُمُ سُجَرائي؟!","كم تعذلون / وأنتم سجرائي","مقابلة","مقابلة بين اللوم من جهة وكونهم أصحابًا مقرّبين من جهة أخرى، لإبراز التناقض."
"1","قَدكَ اِتَّئِب أَربَيتَ في الغُلواءِ كَم تَعذِلونَ وَأَنتُمُ سُجَرائي؟!","سجرائي","كناية","كناية عن شدة القرب والمجالسة (السُّجَرَاء: الجلساء المقرّبون)."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"2","لا تَسقِني ماءَ المُلامِ فَإِنَّني صَبٌّ قَدِ اِستَعذَبتُ ماءَ بُكائي","ماءَ الملام","استعارة","جعل اللوم ماءً يُسقى، تشبيهًا لشدّة أثره وكراهية المتلقي له."
"2","لا تَسقِني ماءَ المُلامِ فَإِنَّني صَبٌّ قَدِ اِستَعذَبتُ ماءَ بُكائي","ماءَ بكائي","استعارة","شبّه الدموع بالماء الذي يُشرب، وفيه تصوير لحالته العاطفية الشديدة بطريقة بلاغية غير مباشرة."
"2","لا تَسقِني ماءَ المُلامِ فَإِنَّني صَبٌّ قَدِ اِستَعذَبتُ ماءَ بُكائي","لا تسقني / استَعذَبتُ","طباق إيجاب","تقابل بين النهي عن السقيا من اللوم والقبول أو الاستعذاب لسقيا الدموع، مما يبرز المفارقة الشعورية."
"2","لا تَسقِني ماءَ المُلامِ فَإِنَّني صَبٌّ قَدِ اِستَعذَبتُ ماءَ بُكائي","صَبٌّ","مبالغة","كلمة ""صَبّ"" تدل على فرط العشق وشدته، وهو من صيغ المبالغة."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"3","وَمُعَرَّسٍ لِلغَيثِ تَخفِقُ بَينَهُ راياتُ كُلِّ دُجُنَّةٍ وَطْفَاءِ","تخفقُ راياتُ كل دجنة وطفاء","استعارة","شبّه الغيوم المظلمة بالرايات التي تخفق، وهو تصوير لحركة السحاب وثقله قبل المطر."
"3","وَمُعَرَّسٍ لِلغَيثِ تَخفِقُ بَينَهُ راياتُ كُلِّ دُجُنَّةٍ وَطْفَاءِ","دُجُنّة / وطفاء","جناس التصحيف","تقارب لفظي باختلاف حرف واحد (الجيم/الطاء)، مما يعطي جرْسًا صوتيًا ويقوي التصوير."
"3","وَمُعَرَّسٍ لِلغَيثِ تَخفِقُ بَينَهُ راياتُ كُلِّ دُجُنَّةٍ وَطْفَاءِ","دجنة / وطفاء","طباق إيجاب","تقابل بين الظلمة (دجنة) والبياض أو النور الخفيف (وطفاء)، لإبراز تضاد حال السحاب."
"3","وَمُعَرَّسٍ لِلغَيثِ تَخفِقُ بَينَهُ راياتُ كُلِّ دُجُنَّةٍ وَطْفَاءِ","معرّس للغيث","كناية","كناية عن مكان إقامة المطر واستقراره، أي موضع اجتماع السحاب."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"4","نَشَرَت حَدائِقَهُ فَصِرنَ مَآلِفاً لِطَرائِفِ الأَنواءِ وَالأَنداءِ","نشرت حدائقه","استعارة","شبّه السحاب أو الأرض بالحدائق التي تُنشر، في تصوير للجمال والخصب بعد المطر."
"4","نَشَرَت حَدائِقَهُ فَصِرنَ مَآلِفاً لِطَرائِفِ الأَنواءِ وَالأَنداءِ","طرائف الأنواء / الأنداء","جناس التصريف","تقارب في الوزن والصيغة بين كلمتي ""الأنواء"" و""الأنداء"" مع اختلاف الدلالة."
"4","نَشَرَت حَدائِقَهُ فَصِرنَ مَآلِفاً لِطَرائِفِ الأَنواءِ وَالأَنداءِ","الأنواء / الأنداء","جناس محرف","اختلاف حرف واحد بين الكلمتين (الواو/الدال) يزيد الموسيقى اللفظية."
"4","نَشَرَت حَدائِقَهُ فَصِرنَ مَآلِفاً لِطَرائِفِ الأَنواءِ وَالأَنداءِ","مآلفاً لطرائف الأنواء والأنداء","كناية","كناية عن كثرة المطر وما يجلبه من خيرات متنوعة."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"5","فَسَقاهُ مِسكَ الطَلِّ كافورُ الصَبا وَاِنحَلَّ فيهِ خَيطُ كُلِّ سَماءِ","مسكَ الطلّ / كافور الصّبا","تشبيه","شبّه رائحة الندى بالمسك، ونسيم الصبا بالكافور للدلالة على العذوبة والعطرية."
"5","فَسَقاهُ مِسكَ الطَلِّ كافورُ الصَبا","مسك الطل / كافور الصبا","جناس محرف","تقارب لفظي بين (مسك / كافور) مع اختلاف الحروف، يمنح جرْسًا موسيقيًا."
"5","وَاِنحَلَّ فيهِ خَيطُ كُلِّ سَماءِ","انحلّ فيه خيط كل سماء","استعارة","تصوير لأشعة الفجر أو المطر بخيوط تنحلّ في الجو، مما يضفي مشهدًا بصريًا قويًا."
"5","فَسَقاهُ مِسكَ الطَلِّ كافورُ الصَبا وَاِنحَلَّ فيهِ خَيطُ كُلِّ سَماءِ","خيط كل سماء","كناية","كناية عن المطر أو الضوء النازل من السماء، للدلالة على الامتزاج والتداخل بين السحب."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"6","عُنِيَ الرَبيعُ بِرَوضِهِ فَكَأَنَّما أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ","عُنيَ الربيعُ بروضه","استعارة","أسند العناية للربيع مجازًا، والمراد ازدهار الروض وكثرة نباته."
"6","عُنِيَ الرَبيعُ بِرَوضِهِ فَكَأَنَّما أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ","أهدى إليه الوشي","استعارة","شبّه تزيّن الروض بنقوش الوشي، وكأن الربيع قدّم له ثوبًا منقوشًا."
"6","عُنِيَ الرَبيعُ بِرَوضِهِ فَكَأَنَّما أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ","الوشي / صنعاء","توشيع","ذكر ""الوشي"" ثم أتبعه بمصدره المشهور ""صنعاء"" توسيعًا للصورة وتقوية لمعنى الجودة."
"6","عُنِيَ الرَبيعُ بِرَوضِهِ فَكَأَنَّما أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ","فكأنما أهدى إليه الوشي","تشبيه","شبّه تزيّن الروض بالنقش المزخرف الذي يُهدى، مبالغًا في تصوير جماله."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"7","صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ","صبّحته / صبّحتها","تكرار","تكرار اللفظ لتعزيز الإيقاع وإظهار المبالغة في الفعل."
"7","صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ","سُلافة / سُلافة الخلطاء والندماء","توزيع","توزيع السلافة على نوعين: الأولى مطلقة والثانية محددة بخَلطاء وندماء، لتوسيع معنى الشراب وحسن صحبته."
"7","صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ","سُلافة / الخلطاء / الندماء","توشيع","توسعة المعنى بإضافة تفاصيل متتابعة وانطباعات متراكبة تعطي ثراءً للصورة."
"7","صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ","سُلافة / سُلافة","جناس مطلق","اتفاق اللفظين مع اختلاف المقصود؛ الأول شراب مقدّم والثاني شراب أهل الخلطاء والندماء."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"8","بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها خَوَلاً عَلى السَرّاءِ وَالضَّرَّاءِ","السرّاء / الضرّاء","طباق إيجاب","تقابل بين حالَي السرور والشدّة، لإظهار دوام أثر المدامة في كل الأحوال."
"8","بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها خَوَلاً عَلى السَرّاءِ وَالضَّرَّاءِ","المنى تخول لكؤوسها","استعارة","أسند ""الخول"" (الخدمة والطاعة) للمنى تجاه الكؤوس، تشبيهًا لشدة تحقق الرغبات عند شربها."
"8","بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها خَوَلاً عَلى السَرّاءِ وَالضَّرَّاءِ","المنى / كؤوسها","توشيع","توسيع المعنى بربط المنى بالكؤوس ليظهر الامتزاج بين اللذة وتحقيق الرغبات."
"8","بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها خَوَلاً عَلى السَرّاءِ وَالضَّرَّاءِ","خَوَلاً","كناية","كناية عن الخضوع والانقياد، أي أن شربها يجعل الأمنيات كالمُسخّرة."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"9","راحٌ إِذا ما الراحُ كُنَّ مَطِيَّها كانَت مَطايا الشَوقِ في الأَحْشاءِ","الراح / الراح","جناس مطلق","تكرار اللفظ نفسه مع اختلاف المقصود: الأولى خمر، والثانية جماع خمرٍ متعددة."
"9","راحٌ إِذا ما الراحُ كُنَّ مَطِيَّها كانَت مَطايا الشَوقِ في الأَحْشاءِ","مطاياها / مطايا الشوق","جناس الاشتقاق","اشتراك في الأصل اللغوي (مطيّة/مطايا) مع اختلاف المعنى، مما يعزز الجرس."
"9","راحٌ إِذا ما الراحُ كُنَّ مَطِيَّها كانَت مَطايا الشَوقِ في الأَحْشاءِ","مطايا الشوق","استعارة","جعل الشوق ركائب تسير في الأحشاء، تصوير لحركة العاطفة وشدتها."
"9","راحٌ إِذا ما الراحُ كُنَّ مَطِيَّها كانَت مَطايا الشَوقِ في الأَحْشاءِ","في الأحشاء","كناية","كناية عن عمق الشوق واشتداد أثره داخليًا."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"10","عِنَبِيَّةٌ ذَهَبِيَّةٌ سَكَبَت لَها ذَهَبَ المَعاني صاغَةُ الشُعَرَاءِ","عنبية / ذهبية","ترصيع","توافق في الوزن والجرس بين الكلمتين مع انسجام لفظي يزيّن العبارة."
"10","عِنَبِيَّةٌ ذَهَبِيَّةٌ سَكَبَت لَها ذَهَبَ المَعاني صاغَةُ الشُعَرَاءِ","ذهبية / ذهب المعاني","تكرار","تكرار كلمة ""ذهب"" لزيادة القوة التصويرية وربط اللون المادي بالمعنى المعنوي."
"10","عِنَبِيَّةٌ ذَهَبِيَّةٌ سَكَبَت لَها ذَهَبَ المَعاني صاغَةُ الشُعَرَاءِ","ذهب المعاني","استعارة","جعل المعاني ذهبًا خالصًا يصاغ، تشبيهًا لجمالها وقيمتها الفنية."
"10","عِنَبِيَّةٌ ذَهَبِيَّةٌ سَكَبَت لَها ذَهَبَ المَعاني صاغَةُ الشُعَرَاءِ","صاغة الشعراء","كناية","كناية عن الشعراء المبدعين الذين يصوغون المعاني كما يصوغ الصائغ الذهب."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"11","أَكَلَ الزَمانُ لِطولِ مُكثِ بَقائِها ما كانَ خامَرَها مِنَ الأَقْذاءِ","أكل الزمان","استعارة","أسند الأكل للزمان مجازًا، والمعنى زوال ما علق بها مع مرور السنين."
"11","أَكَلَ الزَمانُ لِطولِ مُكثِ بَقائِها ما كانَ خامَرَها مِنَ الأَقْذاءِ","خامَرَها من الأقذاء","كناية","كناية عن تراكم الغبار والأوساخ على الشيء لطول عهدِه."
"11","أَكَلَ الزَمانُ لِطولِ مُكثِ بَقائِها ما كانَ خامَرَها مِنَ الأَقْذاءِ","الزمان / الأقذاء","مقابلة","مقابلة بين قوة الزمن وزوال الأذى، لإظهار أثر المدة الطويلة."
"11","أَكَلَ الزَمانُ لِطولِ مُكثِ بَقائِها ما كانَ خامَرَها مِنَ الأَقْذاءِ","أكل / خامر","جناس محرف","تقارب لفظي مع اختلاف الحروف، يضيف جرْسًا موسيقيًا للبيت."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"12","صَعُبَت وَراضَ المَزجُ سَيِّءَ خُلقِها فَتَعَلَّمَت مِن حُسنِ خُلقِ المَاءِ","سيّءَ خلقها / حسن خلق الماء","طباق إيجاب","تقابل بين السوء والحسن، لإبراز أثر التغيير والتحوّل."
"12","صَعُبَت وَراضَ المَزجُ سَيِّءَ خُلقِها فَتَعَلَّمَت مِن حُسنِ خُلقِ المَاءِ","حسن خلق الماء","استعارة","نسب للماء خلقًا حسنًا، وهو تشخيص للماء بوصفه معلّمًا للّين والصفاء."
"12","صَعُبَت وَراضَ المَزجُ سَيِّءَ خُلقِها فَتَعَلَّمَت مِن حُسنِ خُلقِ المَاءِ","راضَ المزجُ سيّءَ خلقها","كناية","كناية عن اعتدال طعم الشراب بعد مزجه وتلطّفه."
"12","صَعُبَت وَراضَ المَزجُ سَيِّءَ خُلقِها فَتَعَلَّمَت مِن حُسنِ خُلقِ المَاءِ","راض / تعلّمت","جناس الاشتقاق","تقارب اشتقاقي بين الفعلين يزيد الإيقاع ويجمعهما في سياق التهذيب."

"رقم البيت","البيت","التعبير البلاغي","العنصر البلاغي","الشرح"
"13","خَرقاءُ يَلعَبُ بِالعُقولِ حَبابُها كَتَلَعُّبِ الأَفعالِ بِالأَسمَاءِ","يلعب بالعقول حبابها","استعارة","أسند اللعب للفقاقيع مجازًا، تصويرًا لشدّة تأثيرها وخفّتها التي تذهل الشارب."
"13","خَرقاءُ يَلعَبُ بِالعُقولِ حَبابُها كَتَلَعُّبِ الأَفعالِ بِالأَسمَاءِ","كتلعّب الأفعال بالأسماء","تشبيه","شبّه تأثير الحباب على العقول بتلعب الأفعال بالأسماء في اللغة عند الاضطراب."
