رقم البيت,التعبير البلاغي,العنصر البلاغي
1,لِمَنِ الديارُ,أسلوب إنشائي (استفهام)
1,غشيتها بسُحام,استعارة
1,عمايتين / أقدام,جناس التصريف
2,تمشي النعاجُ به مع الآرام,كناية
2,النعاج / الآرام,مقابلة
2,فَصَفَا / فَصَاحَتَينِ,جناس التصحيف
3,قبل حوادث الأيام,كناية
3,هير / الرباب / لميس,توزيع
3,حوادث الأيام,استعارة
4,عوجا,أسلوب إنشائي (أمر)
4,كما بكى ابن خذام,تشبيه
4,الطَّلل المحيل,استعارة
5,تستبيك,استعارة
5,بواضح بسّام,طباق إيجاب
5,بواضح بسّام,توشيع
6,كالمسك,تشبيه
6,بات وظلّ,طباق إيجاب
6,بات في الفدّام / ظل في الفدّام,تكرار
7,أفلا ترى,أسلوب إنشائي (استفهام)
7,كالنخل,تشبيه
7,حين صرام,كناية
8,كمها الشقائق,تشبيه
8,أو ظباء سلام,تشبيه
8,يعَلَّلْنَ العبير,استعارة
9,كأنني نشوان,تشبيه
9,صبوح مُدام,توشيع
9,نشوان / مُدام,جناس الاشتقاق
10,كلون دم الغزال,تشبيه
10,خمر عانة / كروم شبام,توشيع
10,معَتَّق / خمر,جناس التصريف
11,كَأن شاربها أصاب لسانه,تشبيه
11,موم يُخالط خبلَه بعظام,استعارة
11,موم / خبل,جناس التصريف
12,رتكَ النعامة,تشبيه
12,أعملتها / فتكَمَّشَت,جناس التصريف
12,طريق حام,كناية
13,واهٍ خفّها,كناية
13,عوجاء / رثيم,جناس التصحيف
13,منسمها رثيم,استعارة
14,لتصرعني / صرعي عليك حرام,جناس الاشتقاق
14,اقصري,أسلوب إنشائي (أمر)
14,جالت لتصرعني,استعارة
15,خير جزاء ناقة واحد,كناية
15,رجعت سالمة القرى,استعارة
15,سلام / سلام,تكرار
16,كأنما بدر,تشبيه
16,وصيل كتيفة,توشيع
16,من عاقل أرمام,كناية
17,أبلغ سبيعًا,أسلوب إنشائي (أمر)
17,إني كظنك,جناس الاشتقاق
17,عشوتَ أمامي,كناية
18,أقصر إليك,أسلوب إنشائي (أمر)
18,لا أشدّ حزامي,كناية
18,أقصر / الوَعِيد,مقابلة
19,أنازل البطل الكمي,كناية
19,لا تطيش سهامي,استعارة
19,أنازل / أناضل,جناس الاشتقاق
20,المنبّه / نوّموا,طباق إيجاب
20,أنا المنبّه / وأنا المعالِن,تكرار
20,المُعالِنُ صفحة النوام,استعارة
21,خالي ابن كبشة / أبو يزيد / رهطه أعمامي,توزيع
21,عرفت مكانه,كناية
21,ابن كبشة / أبو يزيد,جناس التصحيف
22,علمت مَعَدٌّ فضله,كناية
22,نُشِدتُ عن حجر ابن أم قطام,استعارة
22,علمت / نُشدت,جناس التصريف
23,أذيت ببلدة / ودعتها,طباق إيجاب
23,لا أقيم بغير دار مقام,كناية
23,دار مقام,جناس التصريف
