البيت,التعبير البلاغي,العنصر البلاغي المستعمل
1,مأنوسًا خاليا,طباق
1,حَيِّ حَيِّ,تكرار (عام)
1,أَلَا حَيِّ حَيِّ,تجريد
1,حَيِّ رَهبَى,استعارة
2,تَذَكَّرَ تَرَى,تجريد
2,أَن تَذَكَّرَ أَو تَرَى ثُمَامًا مَنصِب الخَيْم باليا,طباق
3,بالغَوْرِ نجدًا,طباق
3,حاجةً,كناية
3,وأُخرى,كناية
4,جِمال جماليا,تكرار (عام)
4,جِمال البين,كناية
4,وحنت جِمال البين حنت جماليا,مبالغة
4,وحنت جِمال البين حنت جماليا,تكرار (عام)
5,أَلا أَيها الوادي حُيِّيتَ واديا,استعارة
5,الوادي واديا,تكرار (عام)
5,الوادي واديا,رد الأعجاز على الصدور
5,ضم سيله إِلينا نوى ظمياءَ,مجاز
5,الذي ضم سيله إِلينا نوى ظمياءَ,مجاز
5,ضم نوى,طباق
6,خُداريًّا من الليل,استعارة
6,يخوضُ خُداريًّا من الليل,استعارة
6,تَخَطَّى إِلينا خيالُها,استعارة
7,فطارت برهبى شُعبة من فؤاديا,استعارة
7,فطارت برهبى شُعبة من فؤاديا,كناية
8,إِن تُعْطِي قليلا,استعارة
8,إِن تُعْطِي قليلا منعتِ وحلّأْت,طباق
8,فطال ما منعتِ وحلّأْت القلوب الصواديا,استعارة
9,عتاق الطير,استعارة
9,شَمَسْنَ,استعارة
9,الخدود العواصيا,مجاز
9,دُنُوَّ عتاق الطير للزجر بعدما شَمَسْنَ وولَّيْنَ الخدود العواصيا,تشبيه
10,الإِخلافَ وصل,طباق
10,وأَفْضَلَتْ على وصل ليلى قُوَّةٌ من حباليا,استعارة
11,فما أَبصر النارَ التي وضحت له وراءَ جُفاف الطير إِلا تماريا,كناية
11,النارَ وضحت,مجاز
11,إِلا تماريا,كناية
11,تماريا,استعارة
12,حُرَّةٍ,كناية
12,الأَحْبَشِيَّ المُكارِيَا,مجاز
12,تُبارِي الأَحْبَشِيَّ المُكارِيَا,استعارة
12,تُبارِي الأَحْبَشِيَّ المُكارِيَا,مبالغة
