portion_1:
"""
1 | آلي  | أسلوب إنشائي (نداء), كناية, مبالغة

2 | آلي  | استعارة, كناية, طباق سلب
2 | يدوي | استعارة

3 | آلي  | تشبيه, كناية عن خفاء آثار الديار وصعوبة تمييز بقاياها., تقارب في الصورة الصوتية مع اختلاف الحروف، مما يعطي جرْساً لفظياً.
3 | يدوي | تشبيه, كناية, استعارة, كناية

4 | آلي  | استعارة, كناية عن شدّة المطر الذي جعل الأرض كأنها ضُربت ضرباً., اشتراك في الجذر الصرفي (ق ص ي / ل ب د) مع اختلاف الوزن يعطي جرْساً لفظيًا.
4 | يدوي | مجاز, مجاز

5 | آلي  | كناية, صوّر السيل كأنه مرفوع إلى السجفين (جانبي الوادي) تشخيصًا لقوة جريانه وارتفاعه., تقابل بين الإطلاق والحبس لإبراز شدة تغيّر حال السيل.
5 | يدوي | مجاز

"""

portion_2:
"""
6 | آلي  | طباق سلب, كناية عن شدّة الفناء والخراب؛ إذ يشبّه ما أصاب الدار بما أصاب أسدًا مشهورًا بالقوة (لُبَد)., تكرار الفعل «أخنى» لتقوية المعنى وإبراز أثر الفناء.
6 | يدوي | تكرار (عام), تكرار (عام), كناية, كناية

7 | آلي  | طباق سلب, كناية عن السير السريع والتهيؤ للرحيل على ناقته القوية., تقارب في اللفظ مع اختلاف في ترتيب الحروف مما يعطي جرْسًا صوتيًا.
7 | يدوي | كناية, مجاز, تجريد, كناية, استعارة, مجاز, كناية

8 | آلي  | تشبيه, كناية عن قوة الناقة وشدة اندفاعها، إذ "المقذوفة" تدل على دفعٍ قويّ في الحركة., تكرار اللفظة للتوكيد وتعزيز الصورة السمعية.
8 | يدوي | استعارة, كناية, تكرار (عام), تشبيه, مجاز

9 | آلي  | تشبيه, كناية عن طول السفر وتعبه، إذ لا يبقى في الطريق إلا المنفردون آخر النهار.
9 | يدوي | استعارة, مجاز, كناية, كناية, تشبيه

10 | آلي  | كناية, صوّر شدة هزال البطن أو ضموره بصورة الطيّ، لإبراز خفة الحركة وسرعة العدو., شبّه لمعان لونه وصفاء جلده بلمعان السيف المصقول الواحد.
10 | يدوي | استعارة, مجاز, استعارة, تشبيه

"""

portion_3:
"""
11 | آلي  | استعارة, كناية عن شدّة المطر والبرد الذي نزل ليلاً., تقارب في الصيغة الصرفية مع اختلاف الجذر، يعطي جرْسًا لفظيًا متناسقًا.
11 | يدوي | اشتقاق, استعارة, كناية, استعارة, كناية

12 | آلي  | كناية, صوّر الحيوان كأنه خاضع مطيع لتأثير الخوف والبرد (الصَّرَد)، تشخيصًا للانقياد التام., تقابل بين الخوف والصرَد (البرد الشديد) لإبراز تعدد أسباب الاضطراب والاضطرار.
