رقم البيت,التعبير البلاغي,العنصر البلاغي
1,قِفَا نَبْكِ,أسلوب إنشائي (أمر) – غير مطلوب
1,ذِكْرَى حَبِيبٍ,كناية
1,ذكر الأماكن المتتابعة,توزيع
2,لم يعفُ رسمها,كناية
2,جنوب وشمال,طباق إيجاب
2,نسج الرياح,استعارة
3,بَعَرَ الأرآم,كناية
3,الأرآم,استعارة تصريحية
3,كأنّه حبّ فلفل,تشبيه
4,كأنّي…,تشبيه
4,ناقف حنظل,تشبيه
4,حنظل (المرارة),كناية
5,وُقوفًا بها صحبي,كناية
5,لا تهلك أسى,مبالغة
5,تجمّل,التفات
6,شفائي عبرة مهراقة,مبالغة
6,رسم دارس,كناية
6,الاستفهام,التفات
7,كدأبك,كناية
7,دأبك,جناس الاشتقاق
7,ذكر امرأتين وجارية,توزيع
8,تضوّع المسك منهما,استعارة
8,نسيم الصبا / ريا القرنفل,تشبيه
8,توزيع,توزيع روائح متعددة (المسك – القرنفل) لإبراز شدّة الطيب وتنوّع العطر.
9,فاضت دموع العين,مبالغة
9,حتى بلّ دمعي محملي,مبالغة
9,تجريد,تجريد دموعه وجعلها كيانًا مؤثّرًا يصل إلى المحمل ليبرز شدّة الانفعال العاطفي.
10,ربّ يومٍ… صالح,كناية
10,لا سيّما يوم بدارة جلجل,توزيع
10,التفات,انتقال من التعميم إلى التخصيص لإبراز أهميّة هذا اليوم بالذات.
11,عقرتُ للعذارى مطيّتي,كناية
11,يا عجباً,التفات
11,مبالغة,مبالغة في وصف ثقل الحمل أو كثرة ما وضع عليه لإبراز قيمة الموقف.
12,يرتمن بلحمها,كناية
12,كهدّاب الدِّمَقْس,تشبيه
12,توزيع,توزيع بين اللحم والشحم لإبراز وفرة الذبيحة وجودة ما تقدّمه.
13,دخلتُ الخدر,كناية
13,لك الويلات,مبالغة
13,تكرار (ضمني),تكرار لفظ الخدر لتأكيد خصوصية المكان وتعظيم اللحظة.
14,تقول… وقد مال الغبيط بنا,المراجعة
14,عقرت بعيري,كناية
14,الخطاب المباشر,التفات
15,سِيري وأرخي زمامه,كناية
15,جناك المعلّل,استعارة
15,مقابلة,تقابل بين الأمر بالسير والنهي عن الإبعاد لإبراز التعلّق والبقاء قريبًا.
16,حبلى… ومرضِع,توزيع
16,حبلى,كناية
16,ألهيتها عن ذي تمائم,كناية
16,مبالغة,"تصوير الطفل بالمحوّل (الذي قارب الفطام) لإبراز مدى انشغالها عنه، وهو مبالغة في وصف تأثير الشاعر عليها."
17,انصرفت له,كناية
17,بِشِقٍّ… شِقّها,جناس التصريف
17,ردّ الأعجاز على الصدور,تكرار لفظ شق في أوّل الجملة وآخرها مما يربط طرفي البيت دلاليًا وإيقاعيًا.
18,تعذَّرت,كناية
18,آلت حلفةً لم تُحلَّل,مبالغة
18,مقابلة,تقابل بين فعل التعذّر والثبات على اليمين لإظهار التناقض بين الضعف الظاهر والقوة الباطنة.
19,مهلًا بعضَ هذا التدلّل,كناية
19,أزمعتِ صرمي,كناية
19,مقابلة,تقابل بين الفراق (صرمي) وبين الإحسان في الفعل (أجْمِلي) لإبراز التوتر بين القسوة واللطف.
20,حبّك قاتلي,مبالغة
20,أغرك,كناية
20,تأمري القلب يفعل,استعارة
21,ساءتك مني خليقة,كناية
21,فسُلّي تنسلي,الجناس المطلق
21,تكرار,تكرار كلمة ثياب لإبراز شدة الارتباط بينهما قبل الفراق.
21,ردّ الأعجاز على الصدور,تكرار اللفظين من نفس الجذر في آخر الشطرين لإحداث ربط موسيقي ودلالي.
22,ذرَفت عيناك لتضربي,استعارة
22,بسهميكِ,استعارة
22,مبالغة,تصوير قلبه كالمجروح المشقوق لكثرة ما أصابته سهام حبّها.
23,بيضة خدر,كناية
23,مبالغة,مبالغة في تصوير شدّة صيانتها وحماية خدرها.
23,تمتعت… غير معجل,كناية
24,تجاوزتُ أهوالًا إليها,كناية
24,حِرَاصًا,مبالغة
24,يسرّون مقتلي,استعارة
25,تعرضت الثريا,تشبيه
25,تعرض أثناء الوشاح المفصّل,تشبيه
25,توزيع,توزيع بين صورتين (نجوم – وشاح) لإبراز التوازي بين الجمال السماوي والزينة الأرضية.
26,نضت ثيابها للنوم,كناية
26,لبسة المتفضّل,كناية
26,مقابلة,"تقابل بين نزع الثياب وبين بقاء ""لبسة"" خفيفة، لإبراز التدرّج في الصورة ووصف الحالة."
27,ما لك حيلة,كناية
27,مبالغة,مبالغة في توكيد القول بالقَسَم.
27,لا تنجلي الغواية,استعارة
