رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
1,"يا دار ميّة بالعلياء، فالسندِ أقوَتْ، وطال عليها سالف الأبدِ",يا دار,أسلوب إنشائي (نداء),نادى الشاعر الدار على سبيل التحسّر وإثارة الشجن.
1,"يا دار ميّة بالعلياء، فالسندِ أقوَتْ، وطال عليها سالف الأبدِ",أقوت الدار,كناية,كناية عن خلوّ الدار وخرابها بعد رحيل أهلها.
1,"يا دار ميّة بالعلياء، فالسندِ أقوَتْ، وطال عليها سالف الأبدِ",طال عليها سالف الأبد,مبالغة,مبالغة في طول المدة التي خلت فيها الدار ليعظّم أثر الفراق.
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
2,"وقفت فيها أُصيلاناً أُسائِلها، عَيّتْ جواباً، وما بالربع من أحدِ",أسائلها / عيّت جواباً,استعارة,"جعل الدار كأنها تُسأل وتجيب، وهو تشخيص لجماد للدلالة على شدة تعلقه بالمكان."
2,"وقفت فيها أُصيلاناً أُسائِلها، عَيّتْ جواباً، وما بالربع من أحدِ",ما بالربع من أحد,كناية,كناية عن تمام الخراب والخلاء في الدار.
2,"وقفت فيها أُصيلاناً أُسائِلها، عَيّتْ جواباً، وما بالربع من أحدِ",أسائلها / وما بالربع من أحد,طباق سلب,"تقابل بين السؤال وغياب من يُجيب، إبرازًا لشدة الوحدة."
,,,,
رقم البيت,البيت,التعببير البلاغي,العنصر البلاغي,الشرح
3,"إلا الأواريَّ لأياً ما أُبيّنها، والنؤي كالحوض بالمظلومة الجلدِ",النؤي كالحوض,تشبيه,"شبّه النؤي (حفرة السيل حول الخيمة) بالحوض الممتلئ، لبيان عمقه واتساعه."
3,إلا الأواريَّ لأياً ما أُبيّنها,كناية,كناية عن خفاء آثار الديار وصعوبة تمييز بقاياها.,
3,الحوض / المظلومة الجلد,جناس التصحيف,"تقارب في الصورة الصوتية مع اختلاف الحروف، مما يعطي جرْساً لفظياً.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
4,"ردّت عليه أُقاصيه، ولبّده ضربُ الوليدةِ بالمسحاةِ في الثأدِ",لبّده ضربُ الوليدة بالمسحاة,استعارة,"شبّه أثر المطر المتراكم بأثر ضرب الوليدة للأرض بالمسحاة، لتصوير شدة تلبّد التراب وتماسكه."
4,ضرب الوليدة بالمسحاة,كناية,كناية عن شدّة المطر الذي جعل الأرض كأنها ضُربت ضرباً.,
4,أقاصيه / لبّده,جناس التصريف,اشتراك في الجذر الصرفي (ق ص ي / ل ب د) مع اختلاف الوزن يعطي جرْساً لفظيًا.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
5,"خلّت سبيل أتِيٍّ كانَ يحبسهُ، ورفّعتهُ إلى السّجفَيْن، فالنّضَدِ",خلّت سبيل أتيّ كان يحبسه,كناية,كناية عن اندفاع السيل بقوة بعد أن كان محبوسًا في مجراه.
5,رفّعته إلى السجفين فالنضد,استعارة,صوّر السيل كأنه مرفوع إلى السجفين (جانبي الوادي) تشخيصًا لقوة جريانه وارتفاعه.,
5,سبيل / يحبسه,طباق سلب,تقابل بين الإطلاق والحبس لإبراز شدة تغيّر حال السيل.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
6,"أمست خلاء، وأمسى أهلها احتملوا أخنى عليها الذي أخنى على لُبَدِ",أمست خلاء / أمسى أهلها احتملوا,طباق سلب,تقابل بين الخلاء والاحتِمال (الرحيل) لإبراز شدة الخراب بعد الرحيل.
6,أخنى عليها الذي أخنى على لبد,كناية,كناية عن شدّة الفناء والخراب؛ إذ يشبّه ما أصاب الدار بما أصاب أسدًا مشهورًا بالقوة (لُبَد).,
6,أخنى عليها / أخنى على لُبَد,تكرار,تكرار الفعل «أخنى» لتقوية المعنى وإبراز أثر الفناء.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
7,"فعَدّ عَمّا ترى، إذ لا ارتجاع له، وانمِ القُتُودَ على عَيْرانةٍ أُجُدِ",عَدّ عمّا ترى / لا ارتجاع له,طباق سلب,"تقابل بين العدول والارتجاع، للدلالة على أن ما مضى لا يمكن رجوعه."
7,انْمِ القتود على عيرانه أجد,كناية,كناية عن السير السريع والتهيؤ للرحيل على ناقته القوية.,
7,القُتُود / أُجُد,جناس التصحيف,تقارب في اللفظ مع اختلاف في ترتيب الحروف مما يعطي جرْسًا صوتيًا.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
8,"مقذوفةٍ بدخيسِ النحض، بازِلُها له صريفٌ، صريفُ القَعْوِ بالمسَدِ",صريف القعو بالمسد,تشبيه,"شبّه صوت الناقة (صريف البازل) بصوت احتكاك القَعْوِ بالحبل، لتصوير شدّة الصوت وحدّته."
8,مقذوفة بدخيس النحض,كناية,"كناية عن قوة الناقة وشدة اندفاعها، إذ ""المقذوفة"" تدل على دفعٍ قويّ في الحركة.",
8,صريف / صريف,تكرار,تكرار اللفظة للتوكيد وتعزيز الصورة السمعية.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
9,"كأن رحلي، وقد زال النهار بنا، يوم الجليل، على مستأنسٍ وحدِ",كأن رحلي… على مستأنسٍ وحد,تشبيه,"شبّه حال رحله في السفر بحال مستأنسٍ منفرد، ليصوّر الوحشة والانفراد في الطريق."
9,زال النهار / مستأنس وحد,كناية,"كناية عن طول السفر وتعبه، إذ لا يبقى في الطريق إلا المنفردون آخر النهار.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
10,"من وحش وَجرةَ، مَوشيٍّ أكارعُهُ، طاوي المصير، كسيف الصيقل الفَرَدِ",مَوشيّ أكارعه,كناية,"كناية عن جمال الحيوان وقوته، فالموشيّ يدل على تزيين الخلقة وحسنها."
10,طاوي المصير,استعارة,"صوّر شدة هزال البطن أو ضموره بصورة الطيّ، لإبراز خفة الحركة وسرعة العدو.",
10,كسيف الصيقل الفرد,تشبيه,شبّه لمعان لونه وصفاء جلده بلمعان السيف المصقول الواحد.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
11,"سرَتْ عليه، من الجوزاءِ، ساريةٌ، تُزجي الشمالَ عليه جامدَ البَرَدِ",تزجي الشمال عليه جامد البرد,استعارة,"صوّر الريح الشمالية كأنها تسوق البرد سوقًا، تشخيصًا لقوة الريح وشدة البرد."
11,سرت عليه سارية / جامد البرد,كناية,كناية عن شدّة المطر والبرد الذي نزل ليلاً.,
11,سرت / تزجي,جناس التصريف,"تقارب في الصيغة الصرفية مع اختلاف الجذر، يعطي جرْسًا لفظيًا متناسقًا.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
12,"فارتاع من صوت كلّابٍ، فبات له طوعَ الشوامتِ من خوفٍ ومن صَرَدِ",فارتاع من صوت كلّاب,كناية,"كناية عن شدة حساسيته وخوفه، إذ يرتاع من أدنى الأصوات."
12,طوع الشوامت من خوف ومن صرد,استعارة,"صوّر الحيوان كأنه خاضع مطيع لتأثير الخوف والبرد (الصَّرَد)، تشخيصًا للانقياد التام.",
12,خوف / صرَد,طباق إيجاب,تقابل بين الخوف والصرَد (البرد الشديد) لإبراز تعدد أسباب الاضطراب والاضطرار.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
13,"فبثّهنّ عليه، واستمرّ به صُمْعُ الكعوبِ بريئاتٌ من الحَرَدِ",صُمْع الكعوب,كناية,"كناية عن دقّة قوائم الظباء وجمالها، إذ الصمع يدل على الدقة والطول."
13,بريئات من الحرد,استعارة,"صوّر الظباء كأنها منزهة من الغضب أو النفور، تشخيصًا لنعومتها وطمأنينتها.",
13,بثّهنّ / استمرّ به,جناس التصريف,تقارب صرفي يعطي جرْسًا لفظيًا متناغمًا.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
14,"وكان ضُمْرانُ منه حيثُ يوزّعه، طعنُ المُعاركِ عند المُحجرِ النُّجُدِ",طعن المعارك,كناية,"كناية عن شدّة جري الحيوان وقوته، حتى يُشبَّه أثر قدميه في الأرض بطعن الرماح."
14,يوزّعه / طعن المعارك,استعارة,"صوّر حركته في الجري كأنه يُوزَّع ويوجَّه كما تُوجَّه ضربات الطعن، تشخيصًا للقوة والاندفاع.",
14,المعارك / المحجر النجد,جناس التصحيف,"تقارب صوتي مع اختلاف في بنية الكلمة، يمنح البيت جرْسًا متوازناً.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
15,"شكّ الفريصةَ بالمِدرى، فأنفذها، طعنَ المبيطرِ إذ يشفي من العَضَدِ",طعن المبيطر,تشبيه,"شبّه إصابة الفريصة بضربة المِدرى بضربة البيطري الماهر الذي يعالج الدابة، للمبالغة في دقّة الإصابة."
15,شكّ الفريصة بالمِدرى,كناية,كناية عن شدّة سرعة السهم أو المِدرى ودقّته دون ذكر مشهد مؤذٍ.,
15,شكّ / أنفذها,جناس التصريف,تقارب في البنية الصرفية يعطي جرْسًا صوتيًا متناغمًا في المعنى والحركة.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
16,"كأنّه، خارجاً من جنب صفحته، سفّودُ شربٍ نسوه عند مفتأدِ",كأنه… سفّود شرب,تشبيه,"شبّه ما يبرز من جنب الفريسة أو الدابة بالسفّود (سيخ الشواء) الذي ينساه الشاربون، للدلالة على الطول والحدة والنتوء."
16,سفّود شرب نسوه عند مفتأد,كناية,كناية عن شدة بروز العظم أو السهم بحيث يشبه شيئًا معدنيًا بارزًا.,
16,خارجاً / نسوه,جناس التصريف,تقارب صرفي في الوزن والإيقاع يمنح البيت جرْسًا متناغمًا.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
17,"فظلّ يعجمُ أعلى الرّوق، منقبضاً، في حالكِ اللونِ صدقٍ، غيرِ ذي أوَدِ",حالك اللون,كناية,"كناية عن شدة السواد والصلابة، مما يدل على القوة والشراسة."
17,يعجم أعلى الروق,استعارة,"صوّر اختباره لصلابة القرن (الرّوق) بفعل ""يعجم"" وكأنه يختبر طعم الشيء أو جوهره، تشخيصًا للقوة والتحقق.",
17,صدق / غير ذي أوَد,طباق سلب,تقابل بين الصدق (الصحة والاستقامة) ونفي العِوَج (غير ذي أوَد) لتأكيد تمام الصلابة.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
18,"لما رأى واشقٌ إقعاصَ صاحبه، ولا سبيلَ إلى عقلٍ، ولا قودِ",ولا سبيل إلى عقل ولا قود,طباق سلب,"تقابل بين العقل و القود مع نفيهما، للدلالة على انعدام أي طريق للنجاة أو الدية."
18,رأى واشق إقعاص صاحبه,كناية,كناية عن شدّة الهلاك والسقوط المفاجئ لصاحبه.,
18,سبيل / عقل / قود,توشيع,"توسيع للمعنى بذكر عدة ألفاظ مترابطة (السبيل، العقل، القود) لبيان انسداد جميع الخيارات.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
19,"قالت له النفس: إني لا أرى طمعاً، وإن مولاك لم يسلم، ولم يصدِ",قالت له النفس,استعارة,"شخّص النفس وجعلها متكلّمة تعاتبه وتثنيه، لتجسيد الصراع الداخلي."
19,لم يسلم / لم يصدّ,طباق سلب,"تقابل بين السلامة و الصّدّ مع نفيهما، لإبراز انعدام الحماية من المولى.",
19,لا أرى طمعاً,كناية,كناية عن اليأس التام وغياب الأمل في النجاة أو الفعل.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
20,"فتلك تُبلغني النعمانَ، إن له فضلاً على الناس في الأدنى، وفي البعدِ",الأدنى / البعد,طباق إيجاب,تقابل بين القريب والبعيد لإبراز شمول فضل النعمان لكل الناس.
20,تُبلغني النعمان,كناية,كناية عن السعي للوصول إلى كرم النعمان ومكانته.,
20,فضلاً على الناس,مبالغة,مبالغة في مدح النعمان ببيان علوّ فضله على جميع الناس.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
21,"ولا أرى فاعلاً في الناس يشبهه، ولا أُحاشي من الأقوام من أحدِ",يشبهه / من أحد,طباق سلب,تقابل بين التشبيه والنفي الشامل (من أحد) لإبراز تفوّقه على الجميع.
21,ولا أرى فاعلاً… يشبهه,مبالغة,مبالغة في نفي وجود من يماثله بين الناس.,
21,ولا أُحاشي من الأقوام من أحد,كناية,"كناية عن التعميم الكامل؛ أي أنه لا يستثني أحداً من المقارنة، مما يعظّم الفضل.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
22,"إلا سليمان، إذ قال الإله له: قم في البرية فاعدُدها عن الفَنَدِ",إلا سليمان,طباق سلب,"جاء بعد نفي المماثل في البيت السابق، فاستثناء سليمان يُبرز عظمة الممدوح بالمقارنة مع أعظم الملوك."
22,قال الإله له: قم في البرية,كناية,كناية عن المكانة العظيمة لسليمان وأن أمره نافذ في البرية كلها بأمر الله.,
22,فاعددها عن الفند,استعارة,"صوّر تسخير البرية وجمعها وضبطها كما تُعدّ الأشياء وتُحصر، وهو تشخيص للسيطرة والإحكام.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
23,وخيّس الجن! إني قد أذنت لهم يبنون تدمر بالصُّفّاح والعَمَدِ,وخيّس الجن!,استعارة,"شخّص الجن وجعلها مفعلة بالأمر، للدلالة على القوة الخارقة وإعطاء الأمر للبناء."
23,يبنون تدمر بالصّفاح والعمد,كناية,"كناية عن شدّة البناء وتنظيمه، فالصّفاح والعمد يرمزان للقوة والمتانة في البناء.",
23,أذنت لهم,توشيع,توسّع في المعنى بإظهار نفوذ الأمر الإلهي على جميع الجهات دون استثناء.,
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
24,"فمن أطاعك، فانفعه بطاعته، كما أطاعك، وادلله على الرشد",كما أطاعك,تكرار,"تكرار الفعل ""أطاع"" لتأكيد الفعل وأثر الطاعة، ولإبراز الاستمرارية والتوازي بين الطاعة والمنفعة."
24,فانفعه بطاعته,كناية,"كناية عن أثر الطاعة وفائدتها، أي أن طاعته تجلب له الخير والهداية.",
24,وادلله على الرشد,استعارة,"صوّر الإرشاد للهداية كأنّه فعل ملموس يُقود الإنسان إلى الرشد، لتجسيد معنى التوجيه.",
,,,,
رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
