رقم البيت,التعبير البلاغي,العنصر البلاغي
1.0,يا دار,أسلوب إنشائي (نداء)
1.0,أقوت الدار,كناية
1.0,طال عليها سالف الأبد,مبالغة
2.0,أسائلها / عيّت جواباً,استعارة
2.0,ما بالربع من أحد,كناية
2.0,أسائلها / وما بالربع من أحد,طباق سلب
3.0,النؤي كالحوض,تشبيه
3.0,كناية,كناية عن خفاء آثار الديار وصعوبة تمييز بقاياها.
3.0,جناس التصحيف,تقارب في الصورة الصوتية مع اختلاف الحروف، مما يعطي جرْساً لفظياً.
4.0,لبّده ضربُ الوليدة بالمسحاة,استعارة
4.0,كناية,كناية عن شدّة المطر الذي جعل الأرض كأنها ضُربت ضرباً.
4.0,جناس التصريف,اشتراك في الجذر الصرفي (ق ص ي / ل ب د) مع اختلاف الوزن يعطي جرْساً لفظيًا.
5.0,خلّت سبيل أتيّ كان يحبسه,كناية
5.0,استعارة,صوّر السيل كأنه مرفوع إلى السجفين (جانبي الوادي) تشخيصًا لقوة جريانه وارتفاعه.
5.0,طباق سلب,تقابل بين الإطلاق والحبس لإبراز شدة تغيّر حال السيل.
6.0,أمست خلاء / أمسى أهلها احتملوا,طباق سلب
6.0,كناية,كناية عن شدّة الفناء والخراب؛ إذ يشبّه ما أصاب الدار بما أصاب أسدًا مشهورًا بالقوة (لُبَد).
6.0,تكرار,تكرار الفعل «أخنى» لتقوية المعنى وإبراز أثر الفناء.
7.0,عَدّ عمّا ترى / لا ارتجاع له,طباق سلب
7.0,كناية,كناية عن السير السريع والتهيؤ للرحيل على ناقته القوية.
7.0,جناس التصحيف,تقارب في اللفظ مع اختلاف في ترتيب الحروف مما يعطي جرْسًا صوتيًا.
8.0,صريف القعو بالمسد,تشبيه
8.0,كناية,"كناية عن قوة الناقة وشدة اندفاعها، إذ ""المقذوفة"" تدل على دفعٍ قويّ في الحركة."
8.0,تكرار,تكرار اللفظة للتوكيد وتعزيز الصورة السمعية.
9.0,كأن رحلي… على مستأنسٍ وحد,تشبيه
9.0,كناية,كناية عن طول السفر وتعبه، إذ لا يبقى في الطريق إلا المنفردون آخر النهار.
10.0,مَوشيّ أكارعه,كناية
10.0,استعارة,صوّر شدة هزال البطن أو ضموره بصورة الطيّ، لإبراز خفة الحركة وسرعة العدو.
10.0,تشبيه,شبّه لمعان لونه وصفاء جلده بلمعان السيف المصقول الواحد.
11.0,تزجي الشمال عليه جامد البرد,استعارة
11.0,كناية,كناية عن شدّة المطر والبرد الذي نزل ليلاً.
11.0,جناس التصريف,تقارب في الصيغة الصرفية مع اختلاف الجذر، يعطي جرْسًا لفظيًا متناسقًا.
12.0,فارتاع من صوت كلّاب,كناية
12.0,استعارة,صوّر الحيوان كأنه خاضع مطيع لتأثير الخوف والبرد (الصَّرَد)، تشخيصًا للانقياد التام.
12.0,طباق إيجاب,تقابل بين الخوف والصرَد (البرد الشديد) لإبراز تعدد أسباب الاضطراب والاضطرار.
13.0,صُمْع الكعوب,كناية
13.0,استعارة,صوّر الظباء كأنها منزهة من الغضب أو النفور، تشخيصًا لنعومتها وطمأنينتها.
13.0,جناس التصريف,تقارب صرفي يعطي جرْسًا لفظيًا متناغمًا.
14.0,طعن المعارك,كناية
14.0,استعارة,صوّر حركته في الجري كأنه يُوزَّع ويوجَّه كما تُوجَّه ضربات الطعن، تشخيصًا للقوة والاندفاع.
14.0,جناس التصحيف,تقارب صوتي مع اختلاف في بنية الكلمة، يمنح البيت جرْسًا متوازناً.
15.0,طعن المبيطر,تشبيه
15.0,كناية,كناية عن شدّة سرعة السهم أو المِدرى ودقّته دون ذكر مشهد مؤذٍ.
