رقم البيت,التعبير البلاغي,العنصر البلاغي
2,لِمَا نَسَجَتْهَا منْ جَنُوبٍ وشَمْألِ,استعارة
2,جَنُوبٍ,كناية
2,وشَمْألِ,كناية
2,جَنُوبٍ وشَمْألِ,طباق
2,لم يَعْفُ رسْمُهَا,مجاز
3,تَرَى بَعَرَ الأرْآمِ في عَرَصَاتِها وقِيْعَانِها كَأنَّهُ حَبُّ فُلْفُلِ,تشبيه
4,لَدَى سَمُراتِ الحَيِّ نَاقِفُ حَنْظَلِ كَأنِّي غَدَاةَ البَيْنِ يَوْمَ تَحَمَّلوا,تشبيه
4,يَوْمَ تَحَمَّلوا,كناية
4,يَوْمٍ ويَوْمَ ويَوْمَ ويَوْمٍ يَوْمٍ يَوْمَ,تكرار (عام)
5,وَتَجمَّلِ,استعارة
5,تَقُولُ فَقُلْتُ يَقُولُونَ,اشتقاق
6,فَهَلْ عِنْدَ رَسْمٍ دارِسٍ من مُعَوَّلِ,تجاهل العارف
7,كَدَأْبِكَ منْ أمِّ الحُوَيْرِث قَبْلَهَا وجَارَتِهَا أمَّ الرَّبابِ بِمَأَسِلِ,تشبيه
8,إذا قَامَتَا تَضَوَّعَ المِسْكُ مِنْهُمَا نَسِيْمَ الصَّبَا جَاءَتْ بِرَيَّا القَرَنْفُلِ,تشبيه
8,إذا قَامَتَا تَضَوَّعَ المِسْكُ مِنْهُمَا نَسِيْمَ الصَّبَا جَاءَتْ بِرَيَّا القَرَنْفُلِ,تشبيه
9,فَفَاضَتْ دُمُوعُ العَيْنِ مِنِّي صَبَابَةً عَلى النَّحْرِ حتّى بَلَّ دَمْعِيَ مِحْمَلي,مبالغة
9,دُمُوعُ دَمْعِيَ,اشتقاق
10,يَوْمٍ صَالِحٍ,استعارة
10,يَوْمٍ يَوْمٍ,تكرار (عام)
11,للعَذَارَى العَذَارَى,تكرار (عام)
11,فَيَا عَجَباً لِرَحْلِهًا المُتَحَمَّلِ,كناية
12,الدِّمَقْسِ,مجاز
12,وشَحْمٍ كَهُدَّابِ الدِّمَقْسِ المُفَتَّلِ,تشبيه
12,فَظَلَّ العَذَارَى يَرْتَمينَ بِلَحْمِهَا,كناية
12,وشَحْمٍ,كناية
13,الخِدْرِ خِدْرَ,تكرار (عام)
