رقم البيت,التعبير البلاغي,العنصر البلاغي
1,قدك اتئب / أربيت,الجناس المحرّف
1,كم تعذلون / وأنتم سجرائي,مقابلة
1,سجرائي,كناية
2,ماءَ الملام,استعارة
2,ماءَ بكائي,استعارة
2,لا تسقني / استَعذَبتُ,طباق إيجاب
2,صَبٌّ,مبالغة
3,تخفقُ راياتُ كل دجنة وطفاء,استعارة
3,دُجُنّة / وطفاء,جناس التصحيف
3,دجنة / وطفاء,طباق إيجاب
3,معرّس للغيث,كناية
4,نشرت حدائقه,استعارة
4,طرائف الأنواء / الأنداء,جناس التصريف
4,الأنواء / الأنداء,جناس محرف
4,مآلفاً لطرائف الأنواء والأنداء,كناية
5,مسكَ الطلّ / كافور الصّبا,تشبيه
5,مسك الطل / كافور الصبا,جناس محرف
5,انحلّ فيه خيط كل سماء,استعارة
5,خيط كل سماء,كناية
6,عُنيَ الربيعُ بروضه,استعارة
6,أهدى إليه الوشي,استعارة
6,الوشي / صنعاء,توشيع
6,فكأنما أهدى إليه الوشي,تشبيه
7,صبّحته / صبّحتها,تكرار
7,سُلافة / سُلافة الخلطاء والندماء,توزيع
7,سُلافة / الخلطاء / الندماء,توشيع
7,سُلافة / سُلافة,جناس مطلق
8,السرّاء / الضرّاء,طباق إيجاب
8,المنى تخول لكؤوسها,استعارة
8,المنى / كؤوسها,توشيع
8,خَوَلاً,كناية
9,الراح / الراح,جناس مطلق
9,مطاياها / مطايا الشوق,جناس الاشتقاق
9,مطايا الشوق,استعارة
9,في الأحشاء,كناية
10,عنبية / ذهبية,ترصيع
10,ذهبية / ذهب المعاني,تكرار
10,ذهب المعاني,استعارة
10,صاغة الشعراء,كناية
11,أكل الزمان,استعارة
11,خامَرَها من الأقذاء,كناية
11,الزمان / الأقذاء,مقابلة
11,أكل / خامر,جناس محرف
12,سيّءَ خلقها / حسن خلق الماء,طباق إيجاب
12,حسن خلق الماء,استعارة
12,راضَ المزجُ سيّءَ خلقها,كناية
12,راض / تعلّمت,جناس الاشتقاق
13,يلعب بالعقول حبابها,استعارة
13,كتلعّب الأفعال بالأسماء,تشبيه
13,الأفعال / الأسماء,طباق إيجاب
13,يلعب / تلعب,جناس الاشتقاق
14,ضعيفة / قدرة الضعفاء,طباق إيجاب
14,أصابت فرصة / قتلت,استعارة
14,الضعفاء,كناية
14,ضعيفة / ضعفاء,جناس الاشتقاق
15,جهمية الأوصاف / جوهر الأشياء,طباق إيجاب
15,لقّبوها جوهر الأشياء,كناية
15,جهمية / جوهر,جناس محرف
15,جهمية الأوصاف,مبالغة
16,بهجتها وبهجة كأسها نار ونور,تشبيه
16,نار / نور,طباق إيجاب
16,نار ونور قُيِّدا بوعاء,استعارة
16,بهجتها / بهجة كأسها,تكرار
17,درة بيضاء بكر / ياقوتة حمراء,تشبيه
17,درة / ياقوتة,توشيع
17,بيضاء / حمراء,طباق إيجاب
17,أطبقت حبلاً عليها,استعارة
18,مسافة كمسافة الهجر,تشبيه
18,الهجر / الحب,طباق إيجاب
18,ارتقى في صدر باقي الحب,استعارة
18,الحب / البُرحاء,توشيع
19,عيد / عدوى,جناس محرف
19,نسل العيد,كناية
19,عيد / عدوى,طباق إيجاب
19,في أملودها ما ارتيد,استعارة
20,مزّقتُ ثوب عكوبها بركوبها,كناية
20,النار تنبع من حصى المعزاء,استعارة
20,مزّقت / تنبع,جناس محرف
20,عكوبها / حصى المعزاء,توشيع
21,همة اعتدت بي,استعارة
21,خلّتي / إخائي,ترصيع
21,خلّتي / إخائي,طباق إيجاب
21,وقفت عليه خلّتي وإخائي,كناية
22,غذوت مودّتي بالبشر,استعارة
22,البشر / استحسنت وجه ثنائي,توشيع
22,استحسنت وجه ثنائي,كناية
22,غذوت / استحسنت,جناس محرف
23,أنبطت في قلبي مشرعًا,استعارة
23,طير رجائي,استعارة
23,طير / رجائي,توشيع
23,تحوم عليه طير رجائي,كناية
24,ثويت جارًا للحضيض / همتي طوقت بكواكب الجوزاء,طباق إيجاب
24,همتي طوقت بكواكب الجوزاء,استعارة
24,جارًا للحضيض,كناية
24,الحضيض / الجوزاء,توشيع
25,فدتك مغارسي ومنابتي,كناية
25,غناءك / بحور عنائي,استعارة
25,غناء / عناء,جناس محرف
25,مغارسي / منابتي,ترصيع
26,يسّر لقولك مهر فعلك,استعارة
26,افتضاض صنيعة عذراء,استعارة
26,قولك / فعلك,طباق إيجاب
26,مهر / افتضاض,جناس محرف
27,ابتعثتُ قصائدي,استعارة
27,لوائي,كناية
27,قصائدي / لوائي,توشيع
27,ابتعثت / رفعت,جناس محرف
28,تشاجرت الخطوب,استعارة
28,كناية,كناية عن حسن تدبيره ومواجهته للشدائد بالحكمة والجدل القوي.
28,استعارة,جعل الجدل كالسيف الذي يفلّ مضارب الأعداء، تصوير لقوة حجّته وتأثير كلامه.
28,توشيع,توسعة للصورة بجمع بين خطوب مجردة وأعداء محسوسين لتقوية المعنى وربط البلاغة بالقوة.
29,غاية الأدباء والظرفاء / سيد الشعراء والخطباء,ترصيع
29,غاية الأدباء / سيد الشعراء,مقابلة
29,النداء,أسلوب إنشائي (نداء)
29,سيد,كناية
30,سنّ الندى,استعارة
30,جناس مطلق,جناس مطلق
30,توشيع,توشيع
30,كناية,كناية
