portion_1:
"""
1 | آلي  | أسلوب إنشائي (أمر) – غير مطلوب, كناية, توزيع

2 | آلي  | كناية, طباق إيجاب, استعارة
2 | يدوي | استعارة, كناية, كناية, طباق, مجاز

3 | آلي  | كناية, استعارة تصريحية, تشبيه
3 | يدوي | تشبيه

4 | آلي  | تشبيه, تشبيه, كناية
4 | يدوي | تشبيه, كناية, تكرار (عام)

5 | آلي  | كناية, مبالغة, التفات
5 | يدوي | استعارة, اشتقاق

"""

portion_2:
"""
6 | آلي  | مبالغة, كناية, التفات
6 | يدوي | تجاهل العارف

7 | آلي  | كناية, جناس الاشتقاق, توزيع
7 | يدوي | تشبيه

8 | آلي  | استعارة, تشبيه, توزيع روائح متعددة (المسك – القرنفل) لإبراز شدّة الطيب وتنوّع العطر.
8 | يدوي | تشبيه, تشبيه

9 | آلي  | مبالغة, مبالغة, تجريد دموعه وجعلها كيانًا مؤثّرًا يصل إلى المحمل ليبرز شدّة الانفعال العاطفي.
9 | يدوي | مبالغة, اشتقاق

10 | آلي  | كناية, توزيع, انتقال من التعميم إلى التخصيص لإبراز أهميّة هذا اليوم بالذات.
10 | يدوي | استعارة, تكرار (عام)

"""

portion_3:
"""
11 | آلي  | كناية, التفات, مبالغة في وصف ثقل الحمل أو كثرة ما وضع عليه لإبراز قيمة الموقف.
11 | يدوي | تكرار (عام), كناية

12 | آلي  | كناية, تشبيه, توزيع بين اللحم والشحم لإبراز وفرة الذبيحة وجودة ما تقدّمه.
12 | يدوي | مجاز, تشبيه, كناية, كناية

13 | آلي  | كناية, مبالغة, تكرار لفظ الخدر لتأكيد خصوصية المكان وتعظيم اللحظة.
13 | يدوي | تكرار (عام)

14 | آلي  | المراجعة, كناية, التفات
14 | يدوي | التفات, المراجعة, مجاز

15 | آلي  | كناية, استعارة, تقابل بين الأمر بالسير والنهي عن الإبعاد لإبراز التعلّق والبقاء قريبًا.
15 | يدوي | استعارة

"""

portion_4:
"""
16 | آلي  | توزيع, كناية, كناية, تصوير الطفل بالمحوّل (الذي قارب الفطام) لإبراز مدى انشغالها عنه، وهو مبالغة في وصف تأثير الشاعر عليها.
16 | يدوي | كناية, كناية, مبالغة, كناية

17 | آلي  | كناية, جناس التصريف, تكرار لفظ شق في أوّل الجملة وآخرها مما يربط طرفي البيت دلاليًا وإيقاعيًا.
17 | يدوي | تكرار (عام), كناية

18 | آلي  | كناية, مبالغة, تقابل بين فعل التعذّر والثبات على اليمين لإظهار التناقض بين الضعف الظاهر والقوة الباطنة.
18 | يدوي | التفات

19 | آلي  | كناية, كناية, تقابل بين الفراق (صرمي) وبين الإحسان في الفعل (أجْمِلي) لإبراز التوتر بين القسوة واللطف.
19 | يدوي | استعارة

20 | آلي  | مبالغة, كناية, استعارة
20 | يدوي | مجاز, مجاز, استعارة

"""

portion_5:
"""
21 | آلي  | كناية, الجناس المطلق, تكرار كلمة ثياب لإبراز شدة الارتباط بينهما قبل الفراق., تكرار اللفظين من نفس الجذر في آخر الشطرين لإحداث ربط موسيقي ودلالي.
21 | يدوي | مجاز, جناس, رد الأعجاز على الصدور, تكرار (عام), استعارة, كناية

22 | آلي  | استعارة, استعارة, تصوير قلبه كالمجروح المشقوق لكثرة ما أصابته سهام حبّها.
22 | يدوي | مجاز, استعارة, مجاز

23 | آلي  | كناية, مبالغة في تصوير شدّة صيانتها وحماية خدرها., كناية
23 | يدوي | كناية, كناية, كناية, استعارة, كناية

24 | آلي  | كناية, مبالغة, استعارة
24 | يدوي | مجاز, كناية

25 | آلي  | تشبيه, تشبيه, توزيع بين صورتين (نجوم – وشاح) لإبراز التوازي بين الجمال السماوي والزينة الأرضية.
25 | يدوي | اشتقاق, مجاز, تشبيه, مجاز, كناية

"""

portion_6:
"""
26 | آلي  | كناية, كناية, تقابل بين نزع الثياب وبين بقاء "لبسة" خفيفة، لإبراز التدرّج في الصورة ووصف الحالة.
26 | يدوي | كناية, طباق

27 | آلي  | كناية, مبالغة في توكيد القول بالقَسَم., استعارة
27 | يدوي | استعارة, استعارة

28 | آلي  | كناية, تشبيه, توزيع عناصر الثوب (أذيال – مرط) لإظهار جماله وطوله وتفصيله.
28 | يدوي | مجاز, كناية, استعارة, كناية

29 | آلي  | كناية, استعارة, مبالغة
29 | يدوي | مجاز, استعارة, تضمين (جريان)

30 | آلي  | كناية, استعارة, مبالغة
30 | يدوي | استعارة, استعارة, كناية, كناية

"""

portion_7:
"""
31 | آلي  | مبالغة, تشبيه, توزيع الصفات بين اللون واللمعان لإبراز جمالها من أكثر من زاوية.
31 | يدوي | استعارة, كناية, استعارة, تشبيه, كناية

32 | آلي  | طباق إيجاب, كناية عن وجهها أو خدّها الناعم المشرق دون ذكره مباشرة., تشبيه, توزيع للصورة بين "النظرة" و"الوحش المطفل" لإكمال المشهد الجمالي بملامح الرقة والخجل.
32 | يدوي | كناية, كناية, تشبيه, كناية

33 | آلي  | تشبيه, طباق إيجاب, تقارب لفظي بين (فاحش – معطّل) في الوزن والصيغة مع اختلاف الحروف والمعنى.
33 | يدوي | تكرار (عام), تشبيه, كناية

34 | آلي  | مبالغة, استعارة, توزيع لحالات الشعر بين المضفور (مثنّى) والمنسدل (مرسل) لبيان تنوّع جماله وتفصيله.
34 | يدوي | مجاز, كناية, استعارة, كناية, تكرار (عام)

35 | آلي  | تشبيه, تشبيه, تقابل بين وصف الخصر والساق لإبراز جمال متكامل في موضعين مختلفين من الجسد.
35 | يدوي | تشبيه, تشبيه, مقابلة, كناية, كناية, استعارة

"""

portion_8:
"""
36 | آلي  | استعارة, كناية, كناية
36 | يدوي | كناية, مجاز, اشتقاق, كناية, كناية

37 | آلي  | كناية, تشبيه, تشبيه, توزيع لصورتين من الطبيعة (الحيوان – النبات) لتقوية وصف جمال اليدين ودقّتهما.
37 | يدوي | كناية, طباق, تشبيه, تشبيه

38 | آلي  | استعارة, تشبيه, توزيع عناصر الصورة بين المنارة والراهب لإضفاء القداسة والوقار على شدة الضوء.
38 | يدوي | طباق, تشبيه, طباق, مبالغة, استعارة

39 | آلي  | كناية, طباق إيجاب, مبالغة في شدّة التعلّق والانجذاب إليها.
39 | يدوي | مبالغة, طباق, طباق, كناية

40 | آلي  | تشبيه, استعارة
40 | يدوي | تشبيه, استعارة, كناية, مجاز, استعارة, مجاز, كناية

"""

portion_9:
"""
41 | آلي  | كناية, طباق سلب, مبالغة في بيان شدّة التعلّق، إذ يجعل قلبه غير قادر على الانسلال من حبّها مهما تغيّر هو.
41 | يدوي | مجاز, استعارة, طباق, استعارة, كناية, اشتقاق, رد الأعجاز على الصدور, مجاز

42 | آلي  | كناية, مبالغة, تقابل بين الخصم الذي يلوّي ويُكثر اللوم وبين الشاعر الذي لا يضعف ولا يتراجع.
42 | يدوي | استعارة, جناس, رد الأعجاز على الصدور, طباق, طباق

43 | آلي  | تشبيه, استعارة, مبالغة
43 | يدوي | تشبيه, استعارة, التفات

44 | آلي  | استعارة, استعارة, تقارب اشتقاقي بين الأفعال الثلاثة يعطي إيقاعًا قويًا ويؤكد صورة الثقل والامتداد.
44 | يدوي | استعارة, استعارة, تضمين (جريان), المراجعة

45 | آلي  | تضمين (جريان), استعارة, الرجوع
45 | يدوي | استعارة, طباق, اشتقاق, الرجوع, استعارة

"""

portion_10:
"""
46 | آلي  | تشبيه, استعارة, تقارب اشتقاقي بين ألفاظ تدل على الفتل والشدّ، مما يكوّن إيقاعًا واحدًا للصورة المتخيَّلة.
46 | يدوي | تشبيه, كناية, كناية, التفات

47 | آلي  | تشبيه, استعارة, توزيع عناصر الصورة بين الحبال والصخور لتقوية المشهد وتشبيه إحكام النجوم بإحكام الربط.
47 | يدوي | استعارة, تشبيه, مبالغة, كناية, استعارة

48 | آلي  | كناية, استعارة, توزيع لأجزاء الصورة بين القربة وعصامها والكاهل لإبراز ثقل الحمل وتفصيله.
48 | يدوي | كناية, استعارة, كناية, استعارة, استعارة

49 | آلي  | تشبيه, تشبيه, توزيع بين صوت الذئب وصوت الإنسان المضطرب لزيادة قوّة الصورة الموحشة.
49 | يدوي | تشبيه, تشبيه, كناية, اشتقاق, التفات, مبالغة, استعارة

50 | آلي  | كناية, مبالغة, جناس التصريف
50 | يدوي | المراجعة, جناس, استعارة, مجاز, استعارة

"""

portion_11:
"""
51 | آلي  | كناية, جناس الاشتقاق, مبالغة في تصوير شدة الفقر والضيق، حتى إنّ من يحرث لهما يَهْزُل من قلّة العائد.
51 | يدوي | اشتقاق, تكرار (عام), استعارة, طباق, تشبيه

52 | آلي  | كناية, استعارة
52 | يدوي | كناية, كناية, استعارة, استعارة, مبالغة, كناية

53 | آلي  | جناس التصريف, تشبيه
53 | يدوي | طباق, طباق, مبالغة, كناية, تشبيه

54 | آلي  | استعارة, تشبيه
54 | يدوي | كناية, اشتقاق, مجاز, مجاز, كناية, تشبيه, تكرار (عام)

55 | آلي  | تشبيه, استعارة, مبالغة لتصوير قوة وتأثير الحركة على من يراه أو يمر به.
55 | يدوي | استعارة, مبالغة, اشتقاق, استعارة, استعارة, مبالغة, تشبيه, استعارة

"""

portion_12:
"""
56 | آلي  | تشبيه, استعارة, توزيع بين الحركة وتأثيرها على البيئة لإبراز حيوية المشهد وديناميكيته.
56 | يدوي | استعارة, كناية, كناية, كناية

57 | آلي  | استعارة, استعارة, تقابل بين الخف والخفة وبين الثقل والالتواء لإبراز التناقض الحركي والجمالي.
57 | يدوي | طباق, كناية, كناية

58 | آلي  | تشبيه, استعارة, توزيع عناصر الحركة بين الجسم والخيط لإظهار انسجام الحركة وتفصيلها بدقة.
58 | يدوي | استعارة, مجاز, مجاز, تشبيه

59 | آلي  | تشبيه, استعارة, توزيع بين الحيوانين لتقوية الصورة البصرية وإبراز التناسق والرشاقة في الشكل.
59 | يدوي | تشبيه, تشبيه, تشبيه, تشبيه

60 | آلي  | استعارة, مبالغة, تقابل بين الفعل والاستجابة لإبراز الحماية والحذر والتوازن بين القوة والمرونة.
60 | يدوي | تجريد, كناية, كناية

"""

portion_13:
"""
61 | آلي  | تشبيه, استعارة, توزيع بين الثبات (الوسط) والطول (المداك) لإبراز التناسق الكلي بين القوة والجمال.
61 | يدوي | تشبيه, تشبيه

62 | آلي  | تشبيه, استعارة, توزيع الصورة بين الدماء والعصارة لإبراز الشدة واللون والتأثير البصري.
62 | يدوي | كناية, تشبيه, مجاز, كناية, مبالغة

63 | آلي  | تشبيه, استعارة, توزيع عناصر الصورة بين الحيوان (النعاج) والبشر (العذارى) لإبراز تشابه الحركة والتنظيم.
63 | يدوي | تشبيه, طباق, استعارة

64 | آلي  | تشبيه, استعارة, توزيع بين الجذع والرشاقة لإظهار التناسق بين القوة والحركة الانسيابية.
64 | يدوي | تشبيه, كناية, التقسيم, طباق

65 | آلي  | كناية, استعارة, توزيع بين الحيوان (الهادِيات) والأشياء الثمينة (الجواهر) لإبراز التنظيم والقيمة.
65 | يدوي | طباق

"""

portion_14:
"""
66 | آلي  | استعارة, مبالغة, تقابل بين الحيوانين المختلفين لإبراز التضاد والقوة والضعف في الصراع.
66 | يدوي | اشتقاق, طباق, استعارة, استعارة

67 | آلي  | كناية, توزيع, مبالغة في كثرة الطعام ووفرة الاستعداد، للدلالة على الفخامة والوفرة.
67 | يدوي | كناية

68 | آلي  | استعارة, كناية, تقابل بين الحد الأعلى للرؤية والقدرة على الملاحظة لإبراز امتداد المكان وتدرج الرؤية.
68 | يدوي | مبالغة, مجاز, مجاز, مجاز, طباق, كناية, كناية

69 | آلي  | استعارة, كناية, توزيع بين عناصر الفرس (السرج واللجام) والعين لتقوية الصورة وإبراز التماسك بين الأدوات والحركة.
69 | يدوي | تكرار (عام), كناية, مبالغة, كناية, طباق, مجاز

70 | آلي  | استعارة, تشبيه, توزيع بين العنصر الطبيعي (البرق) والحركة البشرية (لمع اليدين) لإضفاء جمالية المشهد وتفصيله.
70 | يدوي | كناية, استعارة, تشبيه, تشبيه

"""

portion_15:
"""
71 | آلي  | تشبيه, استعارة, توزيع عناصر الصورة بين الضوء والحركة لإبراز الجمال والتوازن في الصورة.
71 | يدوي | مجاز, كناية

72 | آلي  | كناية, استعارة, توزيع بين عناصر المكان لتوضيح الانتشار المكاني والبعد بين الشخص والمشهد.
72 | يدوي | كناية

73 | آلي  | كناية, استعارة, توزيع بين جزء الجسم (القطن) والحركة (الستار) لإبراز توازن الشكل والحركة.
73 | يدوي | مجاز, كناية, طباق, كناية, كناية

74 | آلي  | استعارة, تشبيه, توزيع بين الماء ودوح الكنهبُل لإبراز كثافة الجريان وتأثيره على الجسم والمشهد.
74 | يدوي | استعارة, كناية

75 | آلي  | استعارة, كناية, توزيع بين مصدر الحركة وتأثيرها على المنازل لإبراز الانسياب والتأثير المتسلسل.
75 | يدوي | كناية, استعارة, مجاز, مجاز, جناس, رد الأعجاز على الصدور, كناية, كناية, كناية

"""

portion_16:
"""
76 | آلي  | كناية, استعارة, مبالغة في تصوير قوة الرياح أو المطر وتأثيره على كل ما في المكان.
76 | يدوي | كناية, كناية, كناية, مجاز

77 | آلي  | تشبيه, تشبيه, مقابلة بين الصغير والكبير لإبراز التناقض والفارق في الحجم أو التأثير.
77 | يدوي | تشبيه, كناية

78 | آلي  | تشبيه, استعارة, توزيع بين العنصر الصغير المنتشر (الذرّ) والحركة المنظمة (الفلكة) لإبراز النظام والجمال في الصورة.
78 | يدوي | استعارة, تشبيه

79 | آلي  | استعارة, تشبيه, توزيع بين الفعل (نثر / إلقاء) والعنصر الطبيعي لتقوية الصورة وإبراز كثافة الحركة.
79 | يدوي | استعارة, كناية, كناية, تشبيه

80 | آلي  | تشبيه, استعارة, توزيع بين الحيوان والعنصر الطبيعي لإبراز الحيوية والانسيابية في المشهد.
80 | يدوي | كناية, كناية, استعارة, تشبيه, كناية, طباق, كناية

"""

portion_17:
"""
81 | آلي  | تشبيه, استعارة, توزيع بين الحيوان وحركته لتوضيح كثافة التواجد والفوضى في المكان.
81 | يدوي | تشبيه

"""
