رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
1,قِفَا نَبْكِ من ذِكْرَى حَبِيبٍ ومنزلِ بِسِقْطِ اللِّوى بَيْنَ الدَّخُولِ فَحَوْمَلِ,ذِكرى حبيب,كناية,"كناية عن شدّة التعلّق بالمحبوبة واستحضار ماضيها، فالكناية تُظهر الحنين دون ذكر لفظ الحبّ صراحةً."
2,فَتُوضِحَ فالمِقْراةِ لم يَعْفُ رَسْمُهَا لِمَا نَسَجَتْهَا مِنْ جَنُوبٍ وشَمْألِ,نسجتْها من جنوب وشمأل,مجاز,"مجاز عقلي، إذ أُسند فعل النسج إلى الرياح (الجنوب والشمأل)، والمراد أثر الرياح التي كشفت الرسم وحفرت معالمه، فهي لا ""تنسج"" حقيقة بل تغيّر معالم الأرض."
3,تَرَى بَعَرَ الأرْآمِ في عَرَصَاتِها وقِيْعَانِها كَأنَّهُ حَبُّ فُلْفُلِ,بَعَرُ الأرام,كناية,"كناية عن وجود الظباء في المكان، فوجود البعر دليلٌ على سُكناها دون ذكرها مباشرة."
4,كَأنِّي غَدَاةَ البَيْنِ يَوْمَ تَحَمَّلوا لَدَى سَمُراتِ الحَيِّ نَاقِفُ حَنْظَلِ,كأنّي… ناقِفُ حنظل,تشبيه,"شبّه حاله يوم الفِراق بمن ينقُف الحنظل، وهو فعلٌ مُرٌّ شديدُ الأذى؛ للدلالة على شدّة الألم والمرارة التي أصابته عند الرحيل."
5,وُقُوفاً بها صَحْبِي عَلَيَّ مَطِيَّهُمْ يَقُولُونَ لا تَهلِكْ أَسًى وَتَجَمَّلِ,لا تَهْلِكْ أَسًى,مجاز,"مجاز عقلي؛ إذ أُسنِد الهلاك إلى الأسى (الحزن)، والمعنى: لا تهلك بسبب شدّة الحزن. التعبير يصوّر الحزن كقوّة تُهلك، مبالِغًا في تصوير شدة الألم."
6,وإنَّ شِفَائي عَبْرَةٌ مُهَرَاقَةٌ فَهَلْ عِنْدَ رَسْمٍ دارِسٍ مِنْ مُعَوَّلِ,شفائي عبرة مهراقة,مجاز,"مجاز عقلي؛ جُعل البكاء علاجًا وشفاءً، وهو ليس شفاءً حقيقياً، للدلالة على أن الدموع هي المتنفّس الوحيد لحزنه."
7,كَدَأْبِكَ مِنْ أُمِّ الحُوَيْرِثِ قَبْلَهَا وَجَارَتِهَا أُمِّ الرَّبَابِ بِمَأَسِلِ,كدأبِكَ من أمّ الحويرث… وجارتِها,كناية,"كناية عن اعتياده حبَّ النساء والمرور بتجارب الغرام من قبل، دون تصريحٍ مباشر، بل بالإشارة إلى قصص سابقة مشابهة."
8,إذا قَامَتَا تَضَوَّعَ المِسْكُ مِنْهُمَا نَسِيمَ الصَّبَا جَاءَتْ بِرَيَّا القَرَنْفُلِ,تضوع المسك منهما,استعارة,"شبّه رائحة الجسد بانتشار رائحة المسك، فأسند فعل التضوع للمسك للدلالة على شدة طيب رائحتهما."
9,فَفَاضَتْ دُمُوعُ العَيْنِ مِنِّي صَبَابَةً عَلى النَّحْرِ حتّى بَلَّ دَمْعِيَ مِحْمَلي,فاضت دموع العين,مبالغة,"تصوير البكاء بصورة فيضٍ غامر يزيد على المعتاد، مما يبرز شدّة الشوق واللوعة."
10,ألا رُبَّ يَوْمٍ لَكَ مِنْهُنَّ صَالِحٍ ولا سِيَّمَا يَوْمٍ بِدَارَةِ جُلْجُلِ,**ولا سيّما يوم,,
11,ويَوْمَ عَقَرْتُ لِلْعَذَارَى مَطِيَّتِي فَيَا عَجَبًا لِرَحْلِهَا الْمُتَحَمَّلِ,عقرتُ للعذارى مطيّتي,كناية,"كناية عن تقديم أعزّ ما يملك (الناقة) إكرامًا للعذارى، فالعَقر رمز للتضحية والكرم الشديد دون ذكر ذلك صراحة."
12,فَظَلَّ العَذَارَى يَرْتَمِين بِلَحْمِهَا وشَحْمٍ كَهُدَّابِ الدِّمَقْسِ المُفَتَّلِ,شحمٍ كَهُدَّابِ الدِّمَقْسِ المُفَتَّلِ,تشبيه,"شبّه الشحم بهدّاب الدِّمَقْس (الحرير المنسوج بإحكام)، للدلالة على النعومة والانسدال وحُسن الهيئة."
13,ويَوْمَ دَخَلْتُ الخِدْرِ خِدْرَ عُنَيْزَةٍ فَقَالَتْ لَكَ الوَيْلَاتُ إِنَّكَ مُرْجِلِي,دخلتُ الخِدر,كناية,"كناية عن شدة القرب والخصوصية بينه وبين المرأة، فالدخول إلى الخدر دليل على الثقة وتمام القرب دون ذكره صراحة."
14,تَقُولُ وقَدْ مَالَ الغَبِيْطُ بَنَا مَعاً عَقَرْتَ بَعِيرِي يا امْرَأَ القَيْسِ فَانْزِلِ,تقول وقد مال الغبيط بنا معًا,المراجعة,"من عناصر المراجعة تكرار الحوار بين الطرفين وتتابع الأقوال في سياق واحد، مما يظهر حالة الاضطراب والانفعال أثناء الموقف."
15,فَقُلْتُ لَهَا سِيْرِي وَأَرْخِي زِمَامَهُ وَلَا تُبْعِدِينِي مِنْ جَنَاكِ المُعَلَّلِ,أرخي زمامه,كناية,"كناية عن تليين الموقف وتيسير القرب، لأن إرخاء الزمام يعني التمهّل وترك العجلة، وهو تعبير لطيف لطلب البقاء معه."
