البيت,التعبير البلاغي,العنصر البلاغي المستعمل
1,قَدكَ اِتَّئِب أَربَيتَ في الغُلواءِ كَم تَعذِلونَ وَأَنتُمُ سُجَرائي؟!,التفات
2,لا تَسقِني ماءَ المُلامِ,استعارة
2,ماءَ ماءَ,تكرار (عام)
2,اِستَعذَبتُ ماءَ بُكائي,استعارة
2,ماءَ بُكائي,كناية
3,وَمُعَرَّسٍ لِلغَيثِ,استعارة
3,تَخفِقُ بَينَهُ راياتُ كُلِّ دُجُنَّةٍ وَطْفَاءِ,استعارة
4,نَشَرَت حَدائِقَهُ,مجاز
4,الأَنواءِ وَالأَنداءِ,جناس
4,نَشَرَت حَدائِقَهُ,استعارة
4,الأَنواءِ وَالأَنداءِ,طباق
4,مَآلِفاً لِطَرائِفِ الأَنواءِ وَالأَنداءِ,استعارة
5,فَسَقاهُ مِسكَ الطَلِّ كافورُ الصَبا,مجاز
5,كافورُ الصَبا,استعارة
5,مِسكَ الطَلِّ,استعارة
5,وَاِنحَلَّ فيهِ خَيطُ كُلِّ سَماءِ,استعارة
5,مِسكَ كافورُ,طباق
6,عُنِيَ الرَبيعُ بِرَوضِهِ,استعارة
6,فَكَأَنَّما أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ,تشبيه
7,بِسُلافَةٍ,كناية
7,صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها بِسُلافَةِ,تكرار (عام)
7,بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ,استعارة
8,السَرّاءِ وَالضََرَّاءِ,طباق
8,السَرّاءِ وَالضََرَّاءِ,جناس
8,بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها خَوَلاً عَلى السَرّاءِ وَالضََرَّاءِ,تشبيه
9,راحٌ الراحُ,جناس
9,الراحُ كُنَّ مَطِيَّها,تشبيه
9,مَطِيَّها مَطايا,اشتقاق
9,كانَت مَطايا الشَوقِ في الأَحشاءِ,تشبيه
9,مَطايا الشَوقِ,استعارة
9,مَطِيَّها ذَهَبِيَّةٌ الأَحشاءِ,استعارة
9,راحٌ,كناية
10,صاغَةُ الشُعَرَاءِ,تشبيه
10,ذَهَبَ المَعاني,استعارة
10,سَكَبَت لَها ذَهَبَ المَعاني صاغَةُ الشُعَرَاءِ,استعارة
10,ذَهَبِيَّةٌ ذَهَبَ,اشتقاق
11,أَكَلَ الزَمانُ ما كانَ خامَرَها مِنَ الأَقْذاءِ,استعارة
11,أَكَلَ الزَمانُ ما كانَ خامَرَها مِنَ الأَقْذاءِ,كناية
