رقم,الاسم بالعربية,الاسم بالإنجليزية,الشرح بالعربية,explanation in English
1,استعارة / استعارة تمثيلية,Metaphor / Analogy based on metaphor (istiʿārah tamthīliyyah),هي استعارة تأتي في جملة كاملة لا يكتمل معناها المجازي إلا بجميع أجزائها بحيث يؤدي حذف أي جزء إلى تغيير المعنى المقصود.,"It is a full metaphorical sentence whose figurative meaning depends on all its components, and removing any part significantly alters the intended meaning."
2,استعارة بالكناية,Metaphor based on periphrasis (istiʿārah bi-l-kināyah),هي استعارة تتحوّل فيها العبارة من كناية ذات علاقة واقعية إلى معنى مجازي عندما تُستخدم في سياق لا يمكن حمله على الحقيقة.,It is a metaphor formed when a phrase that functions as a periphrasis in one context becomes figurative in another where its literal meaning is impossible.
3,استعارة حديثة / استعارة تصريحـيّة,New metaphor (istiʿārah ḥadīthah / istiʿārah taṣrīḥiyyah),هي استعارة يُستبدل فيها اسم بشيء مشابه له في صفة معيّنة مع غياب الاسم الحقيقي في الكلام.,It is a metaphor in which a noun replaces another similar noun that is absent from the sentence due to a shared attribute.
4,استعارة فعلية,Verb metaphor (istiʿārat fiʿl),هي استعارة يُنقل فيها الفعل عن معناه الأصلي ليُسند إلى غير ما وُضع له لإيصال معنى مجازي.,It is a metaphor in which a verb is transferred from its original meaning and applied to something else to convey a figurative sense.
5,استعارة قديمة / استعارة مكنية / استعارة تخييلية,Old metaphor (istiʿārah qadīmah / istiʿārah makniyyah / istiʿārah takhyīliyyah),هي استعارة يُسند فيها اسم لشيء من مجال مختلف تمامًا عن مجاله الحقيقي لإيصال معنى مجازي جديد.,It is a metaphor in which a noun is attributed to something from a completely different domain to create a figurative meaning.
6,استعارة مركّبة,Compound metaphor (istiʿārah murakkabah),هي استعارة تُدمج فيها صورتان مجازيتان مختلفتان لتكوين صورة واحدة منسجمة متكاملة.,It is a metaphor in which two different figurative images are combined to form one coherent and unified picture.
7,استعارة مزدوجة,Paired metaphor (istiʿārah muzdawajah),"هي استعارة يُستخدم فيها أكثر من عنصر مجازي مترابط داخل البيت، حيث تتداخل عدة موضوعات أو صور لتكوين بناء بلاغي واحد.","It is a metaphor in which multiple interconnected figurative elements appear together in a verse, combining several topics or images into one rhetorical structure."
8,اشتقاق,Derivation (ishtiqāq),هو تكوين كلمات متعددة من جذر واحد بحيث ترتبط معانيها ببعضها دلاليًا.,"It is the formation of multiple words from a single root, resulting in terms that share related or connected meanings."
9,التفات,Redirection (iltifāt),هو تغيير الضمائر مع بقاء المرجع واحدًا لإحداث تنويع بلاغي في الخطاب.,It is the shift of pronouns while referring to the same entity to create rhetorical variation in the discourse.
10,تجريد,Branching (tajrīd),هو أن يخاطب الشاعر نفسه بضمير المخاطب بدلًا من المتكلم لإبراز المعنى بطريقة بلاغية.,It is when the poet addresses himself using the second-person pronoun instead of the first to create a rhetorical effect.
11,ترديد,Repetition (tardīd),هو تكرار كلمة بمعناها نفسه مع إسنادها في كل مرة إلى فاعل أو مفعول مختلف لتأكيد المعنى.,It is repeating a word with the same meaning while assigning it each time to a different grammatical subject or object to reinforce the meaning.
12,تشبيه,Simile (tashbīh),هو ربط بين شيئين لإبراز وجه الشبه بينهما بأداة أو بدون أداة.,"It is the comparison of two elements to highlight a shared quality, with or without an explicit marker."
13,تشبيه بالكناية,Simile based on periphrasis (tashbīh bi-l-kināyah),هو تشبيه يعتمد على استعمال كناية في طرف التشبيه لإيصال المعنى بطريقة غير مباشرة.,"It is a simile in which one or both components are expressed through periphrasis, conveying the comparison indirectly."
14,تشبيه تمثيلي,Analogy based on simile (tashbīh tamthīlī),هو تشبيه يكون فيه المشبَّه به جملة كاملة لا يكتمل المعنى البلاغي إلا بجميع أجزائها.,It is a simile in which the compared element is a full sentence whose meaning depends on all its parts.
15,تشبيه خيالي,Imaginative simile (tashbīh khayālī),هو تشبيه يُبنى على عنصر غير موجود في الواقع ويعتمد على الخيال لإيصال الصورة.,It is a simile in which one of the compared elements has no real existence and relies on imagination to convey the image.
16,تشبيه ضمني,Implied simile (tashbīh ḍimnī),هو تشبيه تُفهم علاقته من السياق دون ذكر أداة التشبيه أو طرفيه بشكل مباشر.,It is a simile whose comparison relationship is understood from the context without explicitly stating its components.
17,تشبيه غير بلاغي,Non-rhetorical simile (tashbīh ghayr balāghī),هو تشبيه يربط بين شيئين متماثلين دون إضفاء قيمة بلاغية أو صورة جديدة.,It is a simile that links two similar subjects without adding rhetorical value or creating a new image.
18,تشبيه قصير,Short simile (tashbīh qaṣīr),هو تشبيه يكون فيه وجه الشبه كلمة واحدة أو تركيبًا قصيرًا جدًا.,It is a simile in which the attribute of comparison is a single word or a very short construction.
19,تشبيه مركّب,Compound simile (tashbīh murakkab),"هو تشبيه يجمع صورتين كاملتين، بحيث يقابل كل طرف من أطراف الصورة الأولى نظيره في الصورة الثانية.","It is a simile composed of two complete paired images, where each element in the first image corresponds to its counterpart in the second."
20,تشبيه مطوّل,Prolonged simile (tashbīh muṭawwal),هو تشبيه يُزاد فيه على المشبَّه به وصف أو تفصيل إضافي لا يؤثر حذفه في المعنى الأساسي للتشبيه.,It is a simile in which the compared element is extended with extra details that can be removed without changing the core comparison.
21,تشبيه مقلوب,Reversed simile (tashbīh al-ṭard / tashbīh al-ʿaks),هو تشبيه يتم فيه عكس ترتيب المشبّه والمشبَّه به لإبراز العلاقة بطريقة غير معتادة.,It is a simile in which the roles of the compared elements are reversed to highlight the relationship in an unusual way.
22,تضمين (انقطاع البيت / التضمين الشعري النحوي),Enjambment (taḍmīn),هو أن يكتمل المعنى أو التركيب النحوي للبيت في البيت الذي يليه بحيث يصبح البيت الأول غير مفهوم وحده.,"It is when the grammatical or semantic meaning of a verse continues into the next verse, making the first verse incomplete on its own."
23,تضمين شعري,Poetry quotation (taḍmīn),هو إدخال بيت أو جزء من بيت من قصيدة أخرى داخل القصيدة لإضافة معنى أو دعم الفكرة.,It is the insertion of a full verse or part of a verse from another poem into a poem to enrich or support the meaning.
