الرقم,العنصر البلاغي,rhetorical element,شرح,explaination,مثال امرؤ القيس 1,مثال امرؤ القيس 8,مثال النابغة الذبياني,مثال جرير,مثال أبو تمام
1,استعارة,Metaphor,الاستعارة هي استخدام لفظ يدلّ على معنى غير معناه الأصلي لعلاقة المشابهة مع حذف أداة التشبيه، مما يخلق صورة بلاغية تُعمّق المعنى وتمنحه بعدًا جديدًا. وهي تُعدّ أسلوبًا يربط بين مفهومين مختلفين لإيصال فكرة بطريقة أكثر تأثيرًا وإيحاءً.,"A metaphor is a figure of speech in which a word is used to express a meaning different from its literal one, based on an implied resemblance without using a comparative particle. It links two distinct concepts to enrich the meaning and create a more vivid or expressive image.",فإنْ تَكُ قَدْ ساءَتْكِ مِنِّي خَلِيْقَة ٌ	فَسُلِّي ثِيَابِي منْ ثِيَابِكِ تَنْسُلِ,دَارٌ لَهُم إذْ هُمْ لأَهْلِكَ جِيرَةٌ	إذْ تَسْتَبِيكَ بِواضِحٍ بَسَّامِ,والأدْمَ قد خُيِّست، فُتلاً مرافقها	مشدودة ً برحال ((الحيرة)) الجُدُدِ,أَلا أَيها الوادي الذي ضم سيله	إِلينا نوى ظمياءَ حُيِّيتَ واديا,لا تَسقِني ماءَ المُلامِ فَإِنَّني	صَبٌّ قَدِ اِستَعذَبتُ ماءَ بُكائي
2,تشبيه,Simile,التشبيه هو عقد مقارنة صريحة بين شيئين يشتركان في صفة ما، باستخدام أداة تُظهر هذا الربط مثل كأنّ أو مثل. يهدف إلى توضيح المعنى وتقريبه للقارئ من خلال إبراز وجه الشبه بين الطرفين.,"A simile is an explicit comparison between two things that share a similar quality, using a comparative marker such as “like” or “as.” It serves to clarify an idea and make it more vivid by highlighting the similarity between the compared elements.",إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ تَعَرَّضَ أثْنَاءِ الوِشَاحِ المُفَصَّلِ,أَزْمَانَ فُوهَا كُلَّمَا نَبَّهْتُهَا	كَالمِسْكِ بَاتَ وَظَلَّ فِي الفَدّامِ,وكان ((ضُمْران)) منه حيث يوزعهُ،	طعن المُعارك عند المُحجر النّجُدِ,دُنُوَّ عتاق الطير للزجر بعدما	شَمَسْنَ وولَّيْنَ الخدود العواصيا,عُنِيَ الرَبيعُ بِرَوضِهِ فَكَأَنَّما	أَهدى إِلَيهِ الوَشيَ مِن صَنعاءِ
3,كناية,Kenning,الكناية هي تعبير يُراد به معنى غير ظاهر من اللفظ، دون ذكره مباشرة، مع إمكان إرادة المعنى الحقيقي أيضًا، مما يمنح الكلام عمقًا وإيحاءً. تعتمد على الإشارة غير المباشرة لصفة أو معنى، فيفهم السامع المقصود من خلال الدلالة والسياق.,"A kenning (metonymic or euphemistic expression) conveys an indirect meaning by using words whose literal sense is not the intended purpose, while still allowing the literal meaning to remain possible. It relies on hinting at a quality or idea rather than stating it directly, giving the language subtlety and layered meaning.",وبَيْضَةِ خِدْرٍ لا يُرَامُ خَبَاؤُهَا	تَمَتَّعْتُ منْ لَهْوٍ بها غَيْرَ مُعْجَلِ,وَأنَا المُنَبِّهُ بَعْدَمَا قَدْ نَوَّمُوا	وَأنَا المُعَالِنُ صَفْحَة َ النُّوّامِ,مقذوفة ٍ بدخيس النحض، بازِلُها	له صريفٌ، صريف القَعْوِ بالمسَدِ,فما أَبصر النارَ التي وضحت له	وراءَ جُفاف الطير إِلا تماريا,صَبَّحتُهُ بِسُلافَةٍ صَبَّحتُها	بِسُلافَةِ الخُلَطاءِ وَالنُّدَمَاءِ
4,مجاز,Trope,المجاز هو استخدام اللفظ في غير معناه الأصلي لعلاقة بين المعنيين مع وجود قرينة تمنع إرادة المعنى الحقيقي، فيمنح الكلام قوة إيحائية واتساعًا في الدلالة. وهو أسلوب يُعيد تشكيل المعنى بطريقة غير مباشرة لخلق صورة أعمق وأكثر تأثيرًا.,"A trope (figurative expression) uses a word in a non-literal sense based on an associative relationship, accompanied by a contextual clue that prevents the literal meaning. It enriches the language by expanding meaning and creating more expressive, nuanced imagery.",وَمَا ذَرَفَتْ عَيْنَاكِ إلَّا لتَضْرِبي	بِسَهْمَيْكِ في أعشَارِ قَلْبٍ مُقَتَّلِ,فَجُزِيتِ خَيْرَ جَزَاءِ نَاقَةِ وَاحِدٍ	وَرَجَعْتِ سَالِمَةَ القَرَا بِسَلامِ,فعَدّ عَمّا ترى ، إذ لا ارتجاع له،	وانمِ القُتُودَ على عَيْرانة ٍ أُجُدِ,لَحِقْتُ وأَصحابي على كل حُرَّةٍ	مَرُوح تُبارِي الأَحْبَشِيَّ المُكارِيَا,
5,تجريد,Impersonation,التجريد هو أن ينتزع المتكلم من نفسه أو من الموصوف ذاتًا جديدة يخاطبها أو يتوجه إليها، وكأنَّه يخلق شخصية أخرى من المعنى الأصلي. يُستخدم لإبراز العاطفة أو الفكرة بطريقة أكثر قوة وتأثيرًا، عبر تحويل المعنى إلى كيان مستقل.,"Tajreed is a rhetorical device in which the speaker extracts an imagined persona or separate entity from themselves or the described subject and addresses it directly. This technique intensifies the emotional or conceptual impact by transforming the idea into an independent, vivid character.",ضَلِيْعٍ إذَا اسْتَدْبَرْتَهُ سَدَّ فَرْجَهُ	بِضَافٍ فُوَيْقَ الأرْضِ لَيْسَ بأعْزَلِ,أَفَلا تَرَى أَظْعَانَهُنَّ بِعَاقِلٍ	كَالنَّخْلِ مِنْ شَوْكَانِ حِينِ صِرامِ,ها إن ذي عذرة ٌ إلا تكن نفعت،	فإن صاحبها مشاركُ النّكَدِ,فيا حسراتِ القلب في إِثْرِ من يُرى	قريبًا، ويُلفى خَيْرُهُ منك قاصيا,
6,مقابلة,Antithesis,المقابلة هي جمع معنيين أو أكثر ثم الإتيان بما يقابلها في المعنى، بحيث تتقابل الألفاظ أو الصفات في طرفين متضادين داخل النص. وهذا الأسلوب يعزز التضاد ويقوي التأثير البلاغي من خلال إبراز الفروق بين الجانبين.,"Antithesis is a rhetorical device that places contrasting ideas or qualities side by side, presenting one set of meanings followed by their opposites. It strengthens the expression by highlighting the contrast and creating a clearer, more impactful distinction between the two sides.",وكَشْحٍ لَطِيْفٍ كَالجَديْلِ مُخَصَّرٍ	وسَاقٍ كَأنْبُوبِ السَّقِيِّ المُذَلَّلِ,,فارتاع من صوت كلّابٍ ، فبات له	طوع الشوامت من خوفٍ ومن صَرَدِ,أَلا طرقت أَسماءُ لا حِين مَطْرَق	أَحَمَّ عُمانيا وأَشعث ماضيا,فَثَوَيتُ جاراً لِلحَضيضِ وَهِمَّتي	قَد طُوِّقَت بِكَواكِبِ الجَوْزاءِ
7,التهكم,Sarcasm,التهكُّم هو أسلوب يُستخدم فيه الكلام على غير مراد المتكلّم، بحيث يبدو ظاهرُه المدح أو الإقرار بينما المقصود الحقيقي هو الذم أو السخرية. يهدف إلى إيصال النقد بطريقة لاذعة وغير مباشرة، مما يضاعف أثره على المتلقي.,"Sarcasm is a rhetorical device in which the speaker says something opposite to what they truly mean, often sounding like praise while intending criticism or ridicule. It conveys a sharp, indirect form of commentary that intensifies the emotional or critical impact.",,,شكّ الفَريصةَ بالمِدرى، فأنفَذَها،	طعْنَ المُبيطرِ، إذ يَشفي من العَضَدِ,,
8,المشاكلة,Paronomasia,المشاكلة هي استعمال لفظٍ في غير معناه الأصلي لمجرّد موافقته لفظًا أو وزنًا أو صيغةً مع لفظٍ آخر في السياق، فينشأ انسجام لغوي يُقصد به جمال التعبير أو التوسّع في المعنى. ويُستفاد منها في خلق توازٍ لفظي يجعل العبارة أكثر تأثيرًا ولفتًا للانتباه.,"Paronomasia (lexical matching) is the use of a word in a non-literal sense solely to mirror the form, sound, or structure of another word within the sentence, creating deliberate linguistic harmony. It enhances stylistic effect by producing a balanced or playful verbal symmetry that enriches the expression.",,,شكّ الفَريصةَ بالمِدرى، فأنفَذَها،	طعْنَ المُبيطرِ، إذ يَشفي من العَضَدِ,,خَرقاءُ يَلعَبُ بِالعُقولِ حَبابُها	كَتَلَعُّبِ الأَفعالِ بِالأَسمَاءِ
9,طباق,Antonymy,الطباق هو الجمع بين لفظين متضادين في المعنى داخل سياق واحد، لإبراز التباين وتقوية الدلالة من خلال التضاد الواضح بينهما. يُستخدم لإضفاء إيقاع معنوي وزيادة التأثير عبر شدّ انتباه القارئ إلى المفارقة بين الكلمتين.,Antonymy (or oxymoronic pairing) is the use of two words with opposite meanings within the same context to emphasize contrast and enhance the overall message. It creates a stronger expressive effect by drawing attention to the semantic opposition between the paired terms.,تُضِيءُ الظَّلامَ بالعِشَاءِ كَأنَّهَا	مَنَارَة ُ مُمْسَى رَاهِبٍ مُتَبَتِّلِ,وَأنَا المُنَبِّهُ بَعْدَمَا قَدْ نَوَّمُوا	وَأنَا المُعَالِنُ صَفْحَة َ النُّوّامِ,فتلك تُبْلغني النعمانَ ، إن له	فضلاً على الناس في الأدنى ، وفي البَعَدِ,دعوتُ إِلى ذي العرش ربِّ محمد	لِيَجْمَعَ شعبًا أَو يُقَرِّبَ نائيًا,بِمُدامَةٍ تَغدو المُنى لِكُؤوسِها	خَوَلاً عَلى السَرّاءِ وَالضََرَّاءِ
10,المراجعة,Self-Dialogue,المراجعة هي التفات المتكلّم إلى نفسه أو محاورتها وكأنها طرف مستقل، بهدف كشف الصراع الداخلي أو إعادة تقييم الموقف. يضيف هذا الأسلوب عمقًا نفسيًا للنص، لأنه يُظهر الفكر الداخلي كما لو كان حوارًا صريحًا بين شخصيتين.,"Self-dialogue (internal reflection) is a device in which the speaker addresses their own self as an independent entity, revealing inner conflict or reassessing a situation. It adds psychological depth by presenting internal thoughts as if they were an external, spoken conversation.",,,قالت له النفس: إني لا أرى طمعاً ،	وإن مولاك لم يسلم، ولم يصدِ,,
