البيت,التعبير البلاغي,العنصر البلاغي المستعمل
2,عَيّتْ جواباً،,استعارة
3,والنؤي كالحوض بالمظلومة الجلدِ,تشبيه
3,لأياً ما أُبيّنها،,كناية
3,بالمظلومة,استعارة
3,بالمظلومة,كناية
4,ولبّده ضرب الوليدة,مجاز
4,الثأدِ,مجاز
5,سبيل أتِيٍّ كانَ يحبسهُ،,مجاز
6,أخنى أخنى,تكرار (عام)
6,أمست وأمسى,تكرار (عام)
6,الذي أخنى على لُبَدِ,كناية
6,وأمسى أهلها احتملوا,كناية
7,عَيْرانة,كناية
7,القُتُودَ,مجاز
7,فعَدّ عَمّا ترى وانمِ القُتُودَ على,تجريد
7,عَمّا ترى,كناية
7,إذ لا ارتجاع له،,استعارة
7,له،,مجاز
7,وانمِ القُتُودَ على عَيْرانة ٍ أُجُدِ,كناية
8,مقذوفة,استعارة
8,مقذوفة ٍ بدخيس النحض،,كناية
8,صريفٌ، صريف,تكرار (عام)
8,بازِلُها له صريفٌ، صريف القَعْوِ بالمسَدِ,تشبيه
8,بالمسَدِ,مجاز
9,وقد زال النهار بنا،,استعارة
9,زال النهار,مجاز
9,وقد زال النهار بنا،,كناية
9,مستأنسٍ,كناية
10,مَوشيٍّ أكارعُهُ,استعارة
10,المصير،,مجاز
10,طاوي المصير،,استعارة
10,من من وحش وحش وَجرة َ ، مَوشيٍّ أكارعُهُ ، طاوي المصير، كسيف الصيقل الفَرَدِ,تشبيه
11,سرَتْ سارية,اشتقاق
11,سرَتْ عليه سارية,استعارة
11,سارية,كناية
11,تُزجي الشّمال عليه جامد البَرَدِ,استعارة
11,الشّمال,كناية
12,طوع الشوامت,استعارة
12,كلّابٍ,كناية
12,فبات له طوع الشوامت,استعارة
12,فبات له طوع الشوامت,استعارة
12,من خوفٍ ومن صَرَدِ,مقابلة
12,فبات له طوع الشوامت,كناية
13,واستمرّ به صُمْعُ الكعوبِ,مجاز
13,صُمْعُ الكعوبِ,كناية
13,بريئاتٌ من الحَرَدِ,استعارة
13,بريئاتٌ من الحَرَدِ,كناية
14,طعن,مجاز
14,وكان ((ضُمْران)) منه حيث يوزعهُ، طعن المُعارك عند المُحجر النّجُدِ,تشبيه
14,المُحجر,كناية
14,طعن المُعارك عند المُحجر النّجُدِ,كناية
15,طعْنَ المُبيطرِ، إذ يَشفي من العَضَدِ شكّ الفَريصةَ بالمِدرى، فأنفَذَها،,تشبيه
