tashbeeh_word,poem,poem_without_tashbeeh
أمثلة,لترى فنونَ السّحرِ أمثلة ً وما يُدري الجهولُ لَعَلّها أعيانُها,لترى فنونَ السّحرِ  ً وما يُدري الجهولُ لَعَلّها أعيانُها
أمثلةٌ,أمثلةٌ في الزجاجِ منه حواجبُ القومِ والطِّرارُ, في الزجاجِ منه حواجبُ القومِ والطِّرارُ
أمثلةٌ,فله من فعلكم أمثلةٌ ينسِج الشعرُ عليها يُمَنه,فله من فعلكم  ينسِج الشعرُ عليها يُمَنه
أمثَلُ,رآك وقوما أشبهوكَ نفاية إماطتُها عند الأَماثل أمثَلُ,رآك وقوما أشبهوكَ نفاية إماطتُها عند الأَماثل 
أمِثلُكَ,وقالَتْ وقد أذْرَتْ جُمانًا جُفونُها: أمِثلُكَ يُلفى بالخَصاصَةِ راضِيا؟,وقالَتْ وقد أذْرَتْ جُمانًا جُفونُها:  يُلفى بالخَصاصَةِ راضِيا؟
أمِثلُهُ,فأصبَحَ بي ما لَستُ أدْري أمِثلُهُ بجَفْنَيهِ أمْ لا يَعدلُ السُّقمَ قاسِمُهْ,فأصبَحَ بي ما لَستُ أدْري  بجَفْنَيهِ أمْ لا يَعدلُ السُّقمَ قاسِمُهْ
أمِثْلي,وا ضَياعاه! أمِثْلي يرتجي هذا خَليطا؟,وا ضَياعاه!  يرتجي هذا خَليطا؟
أمِثْليَ,أمِثْليَ غُفْلٌ خاملُ الذّكرِ ضَائعٌ ضَياعَ الحُسامِ العَضْبِ أصْدأه الغِمدُ, غُفْلٌ خاملُ الذّكرِ ضَائعٌ ضَياعَ الحُسامِ العَضْبِ أصْدأه الغِمدُ
أمِثْلُ,أمِثْلُ شِعْريَ يُلْوَى حَقُّه وله عليك من خِيمك المَحمودِ أعوان؟, شِعْريَ يُلْوَى حَقُّه وله عليك من خِيمك المَحمودِ أعوان؟
أمِثْلِي,أمِثْلِي تَأخُذُ النكَباتُ مِنهُ وَيجْزَعُ مِنْ مُلاقاةِ الحِمامِ, تَأخُذُ النكَباتُ مِنهُ وَيجْزَعُ مِنْ مُلاقاةِ الحِمامِ
